quoteId,claimId,customerId,customerName,cancellationDate,cancelReasonDescription,controllingStateOrProvinceCode,effectiveDate,expirationDate,id,lineOfBusinessCode,number,originalEffectiveDate,parentEntityId,parentEntityTypeName,statusCode,renewalPremium,numberOfEmployees,businessIndustry,annualRevenue,paymentMethod,claimsCount,durationInMonths,totalPremium,claimAmount,givenName,surname
Q1031,C1031,31,Carl Hall,7/31/2023,Cancellation due to non-payment,NY,7/31/2022,8/1/2023,P1031,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6168.44466538604,32,Manufacturing,1458097,Credit Card,1,12,6467.90366711294,5967.90366711294,Carl,Hall
Q1032,C1032,32,Michelle Rivera,8/31/2023,Cancellation due to non-payment,NY,8/31/2022,9/1/2023,P1032,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2559.1188040329,75,Retail,8413157,Credit Card,1,12,2534.71711318562,2034.71711318562,Michelle,Rivera
Q1033,C1033,33,Dawn Gonzalez,9/30/2023,Cancellation due to non-payment,NY,9/30/2022,10/1/2023,P1033,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1542.65820089254,20,Manufacturing,1394315,ACH Transfer,1,12,1585.46433686751,1085.46433686751,Dawn,Gonzalez
Q1034,C1034,34,David Rush,10/31/2023,Cancellation due to non-payment,NY,10/31/2022,11/1/2023,P1034,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9177.99178886088,88,Technology,6187595,Cheque,1,12,9539.96983527999,9039.96983527999,David,Rush
Q1035,C1035,35,Brenda Turner,11/30/2023,Cancellation due to non-payment,NY,11/30/2022,12/1/2023,P1035,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9280.72683183713,15,Manufacturing,2675508,Credit Card,1,12,9690.68829767103,9190.68829767103,Brenda,Turner
Q1036,C1036,36,Riley Beck,12/31/2023,Cancellation due to non-payment,NY,12/31/2022,1/1/2024,P1036,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,8438.01640393238,48,Retail,9846919,Credit Card,1,12,8275.57613304815,7775.57613304815,Riley,Beck
Q1037,C1037,37,Renee Hernandez,1/31/2024,Cancellation due to non-payment,NY,1/31/2023,2/1/2024,P1037,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3681.61275719407,71,Technology,4610784,Credit Card,1,12,3741.52392256033,3241.52392256033,Renee,Hernandez
Q1038,C1038,38,Jennifer Martin,2/28/2024,Cancellation due to non-payment,NY,2/28/2023,2/29/2024,P1038,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1921.28380437057,21,Construction,9778075,Cheque,1,12,1879.04902605745,1379.04902605745,Jennifer,Martin
Q1039,C1039,39,Kathryn Schmitt,3/31/2024,Cancellation due to non-payment,NY,3/31/2023,4/1/2024,P1039,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6846.97508093879,42,Retail,264074,Cheque,1,12,7158.09723860941,6658.09723860941,Kathryn,Schmitt
Q1040,C1040,40,Melissa Taylor,4/30/2024,Cancellation due to non-payment,NY,4/30/2023,5/1/2024,P1040,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,4869.73110085998,26,Consulting,2670466,ACH Transfer,1,12,4961.37244365641,4461.37244365641,Melissa,Taylor
Q1041,C1041,41,Tristan Larson,5/31/2024,Cancellation due to non-payment,NY,5/31/2023,6/1/2024,P1041,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2106.63074569244,14,Retail,9279253,Cheque,1,12,2098.344113603,1598.344113603,Tristan,Larson
Q1042,C1042,42,Eric Reynolds,6/30/2024,Cancellation due to non-payment,NY,6/30/2023,7/1/2024,P1042,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,5615.22796610178,57,Technology,3387093,ACH Transfer,1,12,5456.59219100143,4956.59219100143,Eric,Reynolds
Q1043,C1043,43,Luke Calderon,7/31/2024,Cancellation due to non-payment,NY,7/31/2023,8/1/2024,P1043,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1285.76239028817,37,Retail,1117481,ACH Transfer,1,12,1309.49669003696,809.49669003696,Luke,Calderon
Q1044,C1044,44,Jessica Bailey,8/31/2024,Cancellation due to non-payment,NY,8/31/2023,9/1/2024,P1044,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9299.50079368869,58,Construction,3694804,ACH Transfer,1,12,9183.88361870903,8683.88361870903,Jessica,Bailey
Q1045,C1045,45,Anita James,9/30/2024,Cancellation due to non-payment,NY,9/30/2023,10/1/2024,P1045,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3457.51259235169,21,Construction,8551115,ACH Transfer,1,12,3329.01983440015,2829.01983440015,Anita,James
Q1046,C1046,46,Christine Sullivan,10/31/2024,Cancellation due to non-payment,NY,10/31/2023,11/1/2024,P1046,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7043.37262770043,82,Consulting,9594318,ACH Transfer,1,12,6962.70055918583,6462.70055918583,Christine,Sullivan
Q1047,C1047,47,Breanna Schmitt,11/30/2024,Cancellation due to non-payment,NY,11/30/2023,12/1/2024,P1047,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3703.78009174443,69,Manufacturing,2438377,Credit Card,1,12,3805.39968480469,3305.39968480469,Breanna,Schmitt
Q1048,C1048,48,Derek Woodward,12/31/2024,Cancellation due to non-payment,NY,12/31/2023,1/1/2025,P1048,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,5410.4427187873,3,Technology,906564,Cheque,1,12,5680.61219060029,5180.61219060029,Derek,Woodward
Q1049,C1049,49,Bradley Solis,1/31/2025,Cancellation due to non-payment,NY,1/31/2024,2/1/2025,P1049,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6139.50557434112,87,Technology,4018949,Credit Card,1,12,5920.39251408951,5420.39251408951,Bradley,Solis
Q1050,C1050,50,Eric Nguyen,2/28/2025,Cancellation due to non-payment,NY,2/29/2024,3/1/2025,P1050,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2536.17110665418,90,Manufacturing,6147511,ACH Transfer,1,12,2663.69009972974,2163.69009972974,Eric,Nguyen
Q1051,C1051,51,Keith Larsen,3/31/2025,Cancellation due to non-payment,NY,3/31/2024,4/1/2025,P1051,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,10090.7063007984,37,Construction,837954,Cheque,1,12,9726.26164988102,9226.26164988102,Keith,Larsen
Q1052,C1052,52,Patrick Davis,4/30/2025,Cancellation due to non-payment,NY,4/30/2024,5/1/2025,P1052,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7999.27623381139,88,Construction,3008056,Credit Card,1,12,7976.19541025003,7476.19541025003,Patrick,Davis
Q1053,C1053,53,Ryan Lozano,5/31/2025,Cancellation due to non-payment,NY,5/31/2024,6/1/2025,P1053,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9870.65051815409,49,Retail,7940130,Credit Card,1,12,9455.4904740777,8955.4904740777,Ryan,Lozano
Q1054,C1054,54,Gary Chandler,6/30/2025,Cancellation due to non-payment,NY,6/30/2024,7/1/2025,P1054,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9323.9479475238,19,Consulting,8457998,ACH Transfer,1,12,9053.44615384884,8553.44615384884,Gary,Chandler
Q1055,C1055,55,Debra Miller,7/31/2025,Cancellation due to non-payment,NY,7/31/2024,8/1/2025,P1055,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6698.83653507657,89,Consulting,9195781,Credit Card,1,12,6381.09980929976,5881.09980929976,Debra,Miller
Q1056,C1056,56,Linda Cruz,8/31/2025,Cancellation due to non-payment,NY,8/31/2024,9/1/2025,P1056,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9158.07685891762,85,Consulting,6034261,Credit Card,1,12,9296.86811520805,8796.86811520805,Linda,Cruz
Q1057,C1057,57,Brian Williams,9/30/2025,Cancellation due to non-payment,NY,9/30/2024,10/1/2025,P1057,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1844.43109154622,12,Retail,4610579,Credit Card,1,12,1796.43251846727,1296.43251846727,Brian,Williams
Q1058,C1058,58,Adrian Spencer,10/31/2025,Cancellation due to non-payment,NY,10/31/2024,11/1/2025,P1058,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2736.7409788941,61,Consulting,9168055,Credit Card,1,12,2763.8457617723,2263.8457617723,Adrian,Spencer
Q1059,C1059,59,Kendra Wheeler,11/30/2025,Cancellation due to non-payment,NY,11/30/2024,12/1/2025,P1059,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1404.21400820403,41,Manufacturing,9550012,Credit Card,1,12,1407.04560019484,907.04560019484,Kendra,Wheeler
Q1060,C1060,60,Cheryl Smith,12/31/2025,Cancellation due to non-payment,NY,12/31/2024,1/1/2026,P1060,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3978.05677826187,33,Retail,7663493,ACH Transfer,1,12,3927.97297686937,3427.97297686937,Cheryl,Smith
Q1061,C1061,61,Christine Parks,1/31/2026,Cancellation due to non-payment,NY,1/31/2025,2/1/2026,P1061,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,4666.17914578881,50,Manufacturing,2635232,ACH Transfer,1,12,4498.09560720533,3998.09560720533,Christine,Parks
Q1062,C1062,62,Pamela Rios,2/28/2026,Cancellation due to non-payment,NY,2/28/2025,3/1/2026,P1062,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3608.76965548347,68,Retail,7804694,Credit Card,1,12,3442.14128596506,2942.14128596506,Pamela,Rios
Q1063,C1063,63,Aaron Gardner,3/31/2026,Cancellation due to non-payment,NY,3/31/2025,4/1/2026,P1063,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,8685.5603404538,71,Consulting,2478907,ACH Transfer,1,12,8458.63758236736,7958.63758236736,Aaron,Gardner
Q1064,C1064,64,William Brennan,4/30/2026,Cancellation due to non-payment,NY,4/30/2025,5/1/2026,P1064,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,4176.15334183516,86,Manufacturing,7090607,ACH Transfer,1,12,4210.7799402423,3710.7799402423,William,Brennan
Q1065,C1065,65,Tara White,5/31/2026,Cancellation due to non-payment,NY,5/31/2025,6/1/2026,P1065,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3500.66210860906,33,Manufacturing,4632688,Cheque,1,12,3528.41058718642,3028.41058718642,Tara,White
Q1066,C1066,66,Calvin Matthews,6/30/2026,Cancellation due to non-payment,NY,6/30/2025,7/1/2026,P1066,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6024.06446463313,81,Manufacturing,7679751,Credit Card,1,12,5884.26474842423,5384.26474842423,Calvin,Matthews
Q1067,C1067,67,Steve Jones,7/31/2026,Cancellation due to non-payment,NY,7/31/2025,8/1/2026,P1067,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2209.06437389922,24,Retail,7233131,ACH Transfer,1,12,2268.31802477286,1768.31802477286,Steve,Jones
Q1068,C1068,68,Darren Lambert,8/31/2026,Cancellation due to non-payment,NY,8/31/2025,9/1/2026,P1068,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7899.59139676511,61,Technology,2463162,ACH Transfer,1,12,8219.77282678635,7719.77282678635,Darren,Lambert
Q1069,C1069,69,Betty Lee,9/30/2026,Cancellation due to non-payment,NY,9/30/2025,10/1/2026,P1069,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1646.66379832982,61,Consulting,4981909,Credit Card,1,12,1670.95579311793,1170.95579311793,Betty,Lee
Q1070,C1070,70,Dylan Lambert,10/31/2026,Cancellation due to non-payment,NY,10/31/2025,11/1/2026,P1070,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9671.73237479097,98,Manufacturing,5780820,Cheque,1,12,9881.98242940465,9381.98242940465,Dylan,Lambert
Q1071,C1071,71,Sarah Freeman,11/30/2026,Cancellation due to non-payment,NY,11/30/2025,12/1/2026,P1071,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7788.26374604205,28,Technology,9403721,Credit Card,1,12,7950.20292366991,7450.20292366991,Sarah,Freeman
Q1072,C1072,72,Kim Andersen,12/31/2026,Cancellation due to non-payment,NY,12/31/2025,1/1/2027,P1072,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2714.15922333755,58,Consulting,2792794,Cheque,1,12,2788.44113380755,2288.44113380755,Kim,Andersen
Q1073,C1073,73,Daniel Smith,1/31/2027,Cancellation due to non-payment,NY,1/31/2026,2/1/2027,P1073,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1001.63261954138,43,Consulting,2445704,Credit Card,1,12,1049.69905411242,549.69905411242,Daniel,Smith
Q1074,C1074,74,Aaron Young,2/28/2027,Cancellation due to non-payment,NY,2/28/2026,3/1/2027,P1074,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7937.100560677,41,Manufacturing,8911940,Credit Card,1,12,8339.1528560935,7839.1528560935,Aaron,Young
Q1075,C1075,75,Thomas Martin,3/31/2027,Cancellation due to non-payment,NY,3/31/2026,4/1/2027,P1075,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7720.76347125159,39,Manufacturing,8320038,Credit Card,1,12,7361.71609462855,6861.71609462855,Thomas,Martin
Q1076,C1076,76,Colin Ramirez,4/30/2027,Cancellation due to non-payment,NY,4/30/2026,5/1/2027,P1076,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7506.45331283394,86,Retail,8377983,Credit Card,1,12,7561.06451236888,7061.06451236888,Colin,Ramirez
Q1077,C1077,77,Charles Reed,5/31/2027,Cancellation due to non-payment,NY,5/31/2026,6/1/2027,P1077,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7849.57190063674,49,Technology,392575,Cheque,1,12,7941.43312017351,7441.43312017351,Charles,Reed
Q1078,C1078,78,Amy Pham,6/30/2027,Cancellation due to non-payment,NY,6/30/2026,7/1/2027,P1078,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1696.3383223099,17,Technology,1559700,Cheque,1,12,1666.40186560681,1166.40186560681,Amy,Pham
Q1079,C1079,79,Jennifer Thompson,7/31/2027,Cancellation due to non-payment,NY,7/31/2026,8/1/2027,P1079,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,4107.12025286909,98,Manufacturing,8517944,ACH Transfer,1,12,4226.19155689845,3726.19155689845,Jennifer,Thompson
Q1080,C1080,80,Catherine Sanchez,8/31/2027,Cancellation due to non-payment,NY,8/31/2026,9/1/2027,P1080,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2134.7405754076,70,Consulting,3301078,Credit Card,1,12,2042.82153572616,1542.82153572616,Catherine,Sanchez
Q1081,C1081,81,Lori Ramos,9/30/2027,Cancellation due to non-payment,NY,9/30/2026,10/1/2027,P1081,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9018.99616095391,70,Manufacturing,2707622,Cheque,1,12,8767.93083288034,8267.93083288034,Lori,Ramos
Q1082,C1082,82,Abigail Howard,10/31/2027,Cancellation due to non-payment,NY,10/31/2026,11/1/2027,P1082,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6338.29682383995,98,Consulting,1986963,Cheque,1,12,6609.68314144802,6109.68314144802,Abigail,Howard
Q1083,C1083,83,Zachary Wood,11/30/2027,Cancellation due to non-payment,NY,11/30/2026,12/1/2027,P1083,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3945.29517859994,65,Consulting,5404120,Cheque,1,12,3978.08222367384,3478.08222367384,Zachary,Wood
Q1084,C1084,84,Debra Foster,12/31/2027,Cancellation due to non-payment,NY,12/31/2026,1/1/2028,P1084,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1631.62350410312,74,Manufacturing,2872605,Credit Card,1,12,1572.02515257421,1072.02515257421,Debra,Foster
Q1085,C1085,85,William Carter,1/31/2028,Cancellation due to non-payment,NY,1/31/2027,2/1/2028,P1085,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3967.78751482023,85,Construction,1547947,ACH Transfer,1,12,3798.84089544095,3298.84089544095,William,Carter
Q1086,C1086,86,John Mendez,2/28/2028,Cancellation due to non-payment,NY,2/28/2027,2/29/2028,P1086,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3913.84961298737,5,Technology,5913775,Cheque,1,12,3926.64989824072,3426.64989824072,John,Mendez
Q1087,C1087,87,April Harris,3/31/2028,Cancellation due to non-payment,NY,3/31/2027,4/1/2028,P1087,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7652.26782919947,2,Consulting,7342447,Credit Card,1,12,7566.45560504257,7066.45560504257,April,Harris
Q1088,C1088,88,Jean Schwartz,4/30/2028,Cancellation due to non-payment,NY,4/30/2027,5/1/2028,P1088,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6513.66414096713,22,Consulting,8378499,Cheque,1,12,6738.01724219691,6238.01724219691,Jean,Schwartz
Q1089,C1089,89,Jessica Martinez,5/31/2028,Cancellation due to non-payment,NY,5/31/2027,6/1/2028,P1089,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9426.22550327682,57,Construction,6572652,Cheque,1,12,8984.91468318693,8484.91468318693,Jessica,Martinez
Q1090,C1090,90,Jordan Smith,6/30/2028,Cancellation due to non-payment,NY,6/30/2027,7/1/2028,P1090,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,5109.06373189084,66,Retail,6706470,ACH Transfer,1,12,5249.93432645754,4749.93432645754,Jordan,Smith
Q1091,C1091,91,Gene Pearson,7/31/2028,Cancellation due to non-payment,NY,7/31/2027,8/1/2028,P1091,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2168.27474627078,74,Construction,1598339,Cheque,1,12,2076.34821344471,1576.34821344471,Gene,Pearson
