MGA,Program Name,Issuing Company,Full policy number,Policy Effective Date,Policy Expiration Date,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Transaction Effective Date,Transaction Expiration Date,Premium,Terrorism Premium,Total Gross Premium including Terrorism,Commission amount,Net Premium,Surcharge amount,Surcharge type,Tax Amount,Tax Type,Fee Amount,Fee Type,Payment terms,Book or Process Date,Policy Type,Transaction Type,Primary/Excess Indicator,Attachment Point,CM/Occ Indicator,Retroactive date,Risk/Location #,Risk/Location Address,Risk/Location City,Risk/Location State,Risk/Location Zip,Risk/Location premium,Technical Price,IRPM (Individual Risk Premium Modification),Exposure Type,Exposure Amount,Policy Occurrence Limit,Policy Aggregate Limit,SIR/Deductible indicator,SIR/Deductible amount,SIR/Deductible type,NAICS or SIC Code,Annual Statement Line Code,Annual Statement Line Description,Expiring Policy Number,Issue Date,Policy Event Number,Companion policy number,Carrier %,Carrier Limit,Broker/Agent,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,Direct/Assumed,Fac?,Fac Reinsurance Attachment point,Damage to Premises Rented to you Limit,Medical Expense Limit Included,Medical Expense Limit,Personal and Advertising Injury Limit,Products/Completed Operations Aggregate Limit,2nd Layer Deductible - Per Occurrence,2nd Layer Deductible Aggregate,Stop Gap Limit,Employee Benefits Limit,Rate Per Member,Endorsement number,Ceded Fac Reinsurance Carrier,Ceded Premium to Fac Reinsurance,Certificate number,Coverage Ceded to Fac Reinsurer,Home State,SL Tax Broker Company,SL Tax Broker Name,SL Tax Broker Address,SL Broker City,SL Broker State,SL Broker Zip,SL License Number,NJ Transaction Number,Coverage Code,Coverage Sub Code,CA Limit,MTC Limit,APD Limit,CA Deductible Amount,MTC Deductible Amount,APD Deductible Amount,Rating Class Code,Fleet Indicator,Fleet size,Hired Car,Non Owned,Drive Other Car,Vehicle Number,Coverage Symbol,Cost New,Vehicle Body Type,Vehicle Type,Radius Of Use,Business Use Class,Gross Vehicle Weight,Vehicle Make,Vehicle Model,Model Year,Axel count,Vehicle Identification Number,Tractor GCW,Cost of Hire,Specialized Vehicle Type,"Vehicle Number of Seats, Seating Capacity",Occupancy,Class Code,Class Code Description,100% Limit,Building Value,Coinsurance,Building Valuation,Agreed Value,Contents Value,BI/Rental Income Value,Other Structure Limit,TIV,Construction,Year Built,# of Stories,Square Footage,AOP Deductible,AOP Limit,Flood Limit,Flood % Deductible,Flood Deducible,Flood Zone,Earthquake Limit,Earthquake % Deductible,Earthquake Deductible,Earthquake Zone,Wind Limit,Wind Deductible,Wind % Deducible,Equipment Breakdown Limit,Equipment Breakdown Deductible,Protection Class,100% Smoke Detectors,Sprinkler Protection Type Code,Percentage of sprinkler coverage,Breach of Privacy Event,Data and software loss,Network service failure liabilities,Business interruption,Contingent Business Interruption,Incident Response Costs,Regulatory and defense coverage,product and operations liability,liability (Tech E&O),Liability (Professional Services),Liability (Directors and Officers),Media,Financial Theft and fraud,Reputational Damages,Cyber Extortion,Intellectual Property Theft
,,,TSBAAC 0000091-00,26-04-2023,26-04-2024,"Venture Travel, LLC",4652 MORNING BROOK LN,Ketchikan,MT,95377,29-12-2022,26-04-2024,80000,,80000,13600.0,66400.0,,,,,$0.00 ,,,05-05-2023,,,,,,,,4652 MORNING BROOK LN,,OH,95377,80000.0,"$16,577.50 ",,11.0,"2,800,000",,,,,,,,,,,ASC-7936712-00,,,,Jason L. Riley,PO Box 220519,MO - Saint Louis,TX - Roanoke,63122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C6UR5FL5JG371228,,,,,0.85,,,INTERNATIONAL,258ALP,2006.0,,3C6UR5FL5JG371228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TSBAAG 0000092-00,29-12-2022,29-12-2023,"Gateway Canyons Air Tours, LLC",PO BOX 728,Gateway,MO,34484,06-01-2023,29-12-2023,75000,,75000,12750.0,62250.0,,,,,$126.00 ,,,06-05-2023,,,,,,,,877 COUNTY ROAD 222,,MO,34484,75000.0,$206.25 ,,6.0,,,,,,,,,,,,ASC-7010799-00,,,,Renewal Dept,14871 Pioneer Trail,MN - Eden Prairie,FL - Lake Mary,55347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1XKYD49X7NJ494829,,,,,1.615,,,VOLVO,4500HD,2010.0,,1XKYD49X7NJ494829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TSBAAC 0000086-00,30-12-2022,30-12-2023,Shoreline Aviation LLC,13821 HOLLYWOOD DR,Sandy,HI,79928,30-12-2022,30-12-2023,270000,,270000,45900.0,224100.0,,,,,$90.28 ,,,11-05-2023,,,,,,,,13821 HOLLYWOOD DR,,MI,79928,270000.0,"($7,500.00)",,10.0,,,,,,,,,,,,ASC-4157383-00,,,,Kathryn Forbes,310 Oak Street,TX - Roanoke,Nevada,76262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3AKJHHDR3LSLR4856,,,,,1.503,,,VOLVO TRUCK,W900B,2024.0,,3AKJHHDR3LSLR4856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0000037-00,18-04-2023,18-04-2024,"ZMN Enterprises, LLC and Centurion Holdings, LLC",2611 Apple Tree Way,Kila,GA,95020,18-04-2023,18-04-2024,"$3,185.38 ",,"$3,185.38 ",$796.35 ,,,,,,,,,15-05-2023,,,,,,,,2611 Apple Tree Way,,NJ,95020,,"$7,500.00 ",,9.0,,,,,,,,,,,,ASC-1113117-00,,,,Kate Bjorke,1307 South International Parkway,FL - Lake Mary,,32746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3AKJHHDR9KSJL3942,,,,,1.285,,,GMC,387,2009.0,,3AKJHHDR9KSJL3942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0000067-00,31-03-2023,31-03-2024,Pollard Aircraft Sales Inc; Pollard Spares LLC; et al,22517 GRAN SASSO DR,Fort Worth,ID,77357,31-03-2023,31-03-2024,"$16,577.50 ",,"$16,577.50 ","$4,144.38 ",,,,,,,,,2023-10-24,,,,,,,,22517 GRAN SASSO DR,,AR,77357,,"$97,864.00 ",,8.0,,,,,,,,,,,,ASC-1696092-00,,,,Chris J Conroy,9584 Greensburg Ave,Las Vegas,,89178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3AKJGEBG0GSHE3947,,,,,1.67,,,CHEVROLET,PROSTAR,2012.0,,3AKJGEBG0GSHE3947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0000080-00,02-05-2023,02-05-2024,Rafter K LLC,2330 SCENIC HWY S STE 816,Liberal,AR,30078,02-05-2023,02-05-2024,$206.25 ,,$206.25 ,$51.56 ,,,,,,,,,2023-10-25,,,,,,,,2330 SCENIC HWY S STE 816,,UT,30078,,"$8,945.10 ",,25.0,,,,,,,,,,,,ASC-8988327-00,,,,Sara Weidler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C63RRGL0EG220501,,,,,1.364,,,MACK,LT625,2023.0,,3C63RRGL0EG220501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 000093-00,03-05-2023,03-05-2024,Kupau Inc,7726 WINEGARD RD 2ND FLOOR,Kailua Kona,PA,32809,03-05-2023,03-05-2024,"($7,500.00)",,"($7,500.00)","($1,875.00)",,,,,,,,,2023-10-02,,,,,,,,7726 WINEGARD RD 2ND FLOOR,,AZ,32809,,"($1,06,984.00)",,5.0,,,,,,,,,,,,ASC-5292247-00,,,,Kathleen Leatherman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5PVNJ8JV3J4S67736,,,,,1.6,,,ISUZU,4300,2007.0,,5PVNJ8JV3J4S67736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0009002-00,05-05-2023,05-05-2024,"DILO Equipment Leasing, LLC",813 Peggy Drive,Clearwater,OR,75791,05-05-2023,05-05-2024,"$7,500.00 ",,"$7,500.00 ","$1,875.00 ",,,,,,,,,2023-10-05,,,,,,,,813 Peggy Drive,,MS,75791,,$250.00 ,,1.0,,,,,,,,,,,,ASC-6040867-00,,,,Courtney Pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1HTKHPVK2NH599435,,,,,1.314,,,DODGE,T660,2013.0,,1HTKHPVK2NH599435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0009003-00,06-05-2023,06-05-2024,"N37GD, LLC",216 MADRID AVE,Fort Myers,MI,17815-3143,06-05-2023,06-05-2024,"$97,864.00 ",,"$97,864.00 ","$24,466.00 ",,,,,,,,,2023-10-03,,,,,,,,216 MADRID AVE,,TN,17815-3143,,"($6,282.00)",,2.0,,,,,,,,,,,,ASC-7406719-00,,,,Cameron Boykin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GB3G3BGXE1211099,,,,,1.68,,,INTL,LF687,2021.0,,1GB3G3BGXE1211099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0009000-00,11-05-2023,11-05-2024,"Angely Air, LLC",6850 W OAK  AVE,Harlingen,CA,93722,11-05-2023,11-05-2024,"$8,945.10 ",,"$8,945.10 ","$2,236.28 ",,,,,,,,,2023-10-18,,,,,,,,6850 W OAK  AVE,,AL,93722,,"$6,272.00 ",,3.0,,,,,,,,,,,,ASC-3795140-00,,,,Scott M Langevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1XKWD49X6FR423647,,,,,1.155,,,WESTERN STAR,F450,2005.0,,1XKWD49X6FR423647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0009005-00,15-05-2023,15-05-2024,DamnRightITsAJet LLC,6900 Mauna Loa Way,Kathleen,OH,95219,15-05-2023,15-05-2024,"($1,06,984.00)",,"($1,06,984.00)","($26,746.00)",,,,,,,,,2023-10-11,,,,,,,,6900 Mauna Loa Way,,DE,95219,,"$32,294.00 ",,6.0,,,,,,,,,,,,ASC-4156781-00,,,,Cover Whale Insurance Solutions Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1XP7DB9X26D640600,,,,,1.512,,,FRTL,M2 106,2011.0,,1XP7DB9X26D640600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0000084-00,10-09-2022,10-09-2023,J.E.A.R. Aviation Inc,140 IRONWOOD LN,El Paso,NJ,94591,2023-10-24,10-09-2023,$250.00 ,,$250.00 ,$62.50 ,,,,,,,,,2023-10-23,,,,,,,,140 IRONWOOD LN,,OK,94591,,"$4,245.00 ",,8.0,,,,,,,,,,,,ASC-7681529-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HSCUAPR7AN240464,,,,,1.8325,,,MERCEDES,C5C042,2008.0,,3HSCUAPR7AN240464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0000095-00,2023-08-03,2024-08-03,Alberta M. Smith,1606 74th Ave,Payette,AZ,94621,2023-10-25,2024-08-03,"($6,282.00)",,"($6,282.00)","($1,570.50)",,,,,,,,,2023-10-16,,,,,,,,1606 74th Ave,,IN,94621,,"$6,300.00 ",,4.0,,,,,,,,,,,,ASC-8691705-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3AKJHHDR5RSVB8873,,,,,1.384,,,Dodge,Cascadia,2004.0,,3AKJHHDR5RSVB8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0009004-00,2023-08-09,2024-08-09,Waytack LLC,PO BOX 307,Bryant,MS,95368,2023-10-02,2024-08-09,"$6,272.00 ",,"$6,272.00 ","$1,568.00 ",,,,,,,,,2023-10-09,,,,,,,,5005 COUNTRYVALE CT,,OR,95368,,"$4,514.00 ",,5.0,,,,,,,,,,,,ASC-9045746-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HSDZAPR3JN531131,,,,,2.1684,,,NISSAN,VNL64T,2000.0,,3HSDZAPR3JN531131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0009001-00,2023-08-11,2024-08-11,Richard Harder,PO BOX 1452,SINKING SPRING,TN,91743,2023-10-05,2024-08-11,"$32,294.00 ",,"$32,294.00 ","$8,073.50 ",,,,,,,,,2023-08-28,,,,,,,,2944 FAIRMONT AVE 11,,MD,91214,,"$11,019.00 ",,10.0,,,,,,,,,,,,ASC-5284334-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1HTMMMMLXJH447751,,,,,1.637,,,Enterprise,CL120,,,1HTMMMMLXJH447751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0009007-00,2023-08-29,2024-08-29,THM Holdings LLC,13457 GLORYBOWER ST,Lake Oswego,AL,92553,2023-10-03,2024-08-29,"$4,245.00 ",,"$4,245.00 ","$1,061.25 ",,,,,,,,,2023-08-29,,,,,,,,13457 GLORYBOWER ST,,MN,92553,,"$48,852.00 ",,,,,,,,,,,,,,ASC-9176231-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3AKJGLDR5HSHT2418,,,,,1.085,,,Volvo,4500,,,3AKJGLDR5HSHT2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0000094-00,2023-08-19,2024-08-19,"Ward Aviation, LLC",PO BOX 938,Grand Rapids,DE,83877,2023-10-18,2024-08-19,"$6,300.00 ",,"$6,300.00 ","$1,575.00 ",,,,,,,,,2023-10-07,,,,,,,,4308 N ARTHUR ST,,WV,83815,,"$3,091.69 ",,,,,,,,,,,,,,ASC-7383882-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3AKJGHDV3FSGN7323,,,,,1.192,,,MITSUBISHI FUSO,VNL,,,3AKJGHDV3FSGN7323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TIBAAN 0000001-00,2023-08-22,2024-08-22,"Crankman EA, LLC",105 TERAN ST,Donalsonville,OK,78596,2023-10-11,2024-08-22,"$4,514.00 ",,"$4,514.00 ","$1,128.50 ",,,,,,,,,2023-10-19,,,,,,,,105 TERAN ST,,,78596,,"$43,182.00 ",,,,,,,,,,,,,,ASC-3333286-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1FVACWDTL6HAD0298,,,,,1.2295,,,,SIERRA 2500HD,,,1FVACWDTL6HAD0298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
