quoteId,claimId,customerId,customerName,givenName,surname,cancelReasonDescription,controllingStateOrProvinceCode,id,statusCode,parentEntityId,parentEntityTypeName,lineOfBusinessCode,number,totalPremium,effectiveDate,originalEffectiveDate,cancellationDate,expirationDate,RenewalDate,renewalPremium,numberOfEmployees,businessIndustry,annualRevenue,paymentMethod,claimsCount,claimAmount,durationInMonths,RenewalStatus
Q1011,C1011,11,Casey Smith,Casey,Smith,Cancellation due to non-payment,NY,1011,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1185.26,2020-11-30,2022-11-04,2021-01-10,2021-11-30,,1152.22,80,Consulting,1629472.82,Credit Card,1,685.26,12,0
Q1012,C1012,12,Peter Ramos,Peter,Ramos,Cancellation due to non-payment,NY,1012,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9729.19,2020-12-31,2022-11-04,,2021-12-31,2022-01-01,10203.65,72,Technology,4923927.01,ACH Transfer,1,9229.19,12,1
Q1013,C1013,13,Todd Mathews,Todd,Mathews,Cancellation due to non-payment,NY,1013,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8491.98,2021-01-31,2022-11-04,,2022-01-31,2022-02-01,8869.07,97,Technology,4356853.62,Credit Card,1,7991.98,12,1
Q1014,C1014,14,George Hickman,George,Hickman,Cancellation due to non-payment,NY,1014,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2911.05,2021-02-28,2022-11-04,,2022-02-28,2022-03-01,2776.97,12,Retail,6009415.84,Cheque,1,2411.05,12,1
Q1015,C1015,15,Brenda Thomas,Brenda,Thomas,Cancellation due to non-payment,NY,1015,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2636.42,2021-03-31,2022-11-04,2022-02-28,2022-03-31,,2690.62,53,Construction,9995621.26,ACH Transfer,0,2136.42,12,0
Q1016,C1016,16,Carla Evans,Carla,Evans,Cancellation due to non-payment,NY,1016,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2650.64,2021-04-30,2022-11-04,,2022-04-30,2022-05-01,2763.36,75,Retail,7717544.05,ACH Transfer,0,2150.64,12,1
Q1017,C1017,17,Sara Brown,Sara,Brown,Cancellation due to non-payment,NY,1017,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3738.18,2021-05-31,2022-11-04,2022-02-20,2022-05-31,,3618.77,5,Retail,4038870.46,Credit Card,0,3238.18,12,0
Q1018,C1018,18,Shelia Sullivan,Shelia,Sullivan,Cancellation due to non-payment,NY,1018,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5722.81,2021-06-30,2022-11-04,2022-04-17,2022-06-30,,5761.69,27,Retail,8292775.22,ACH Transfer,0,5222.81,12,0
Q1019,C1019,19,Michael Miranda,Michael,Miranda,Cancellation due to non-payment,NY,1019,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,4887.51,2021-07-31,2022-11-04,2021-10-13,2022-07-31,,5090.58,12,Retail,1790012.8,ACH Transfer,0,4387.51,12,0
Q1020,C1020,20,Douglas Cohen,Douglas,Cohen,Cancellation due to non-payment,NY,1020,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3621.06,2021-08-31,2022-11-04,,2022-08-31,2022-09-01,3452.3,17,Technology,401590.49,Credit Card,0,3121.06,12,1
Q1021,C1021,21,Sydney Bradshaw,Sydney,Bradshaw,Cancellation due to non-payment,NY,1021,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6506.68,2021-09-30,2022-11-04,2022-01-22,2022-09-30,,6635.14,6,Construction,2124038.89,ACH Transfer,0,6006.68,12,0
Q1022,C1022,22,Alicia Summers,Alicia,Summers,Cancellation due to non-payment,NY,1022,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2255.44,2021-10-31,2022-11-04,,2022-10-31,2022-11-01,2209.73,97,Retail,3470074.41,Credit Card,1,1755.44,12,1
Q1023,C1023,23,Frank Willis,Frank,Willis,Cancellation due to non-payment,NY,1023,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3629.3,2021-11-30,2022-11-04,,2022-11-30,2022-12-01,3783.33,5,Technology,5154749.5,Credit Card,1,3129.3,12,1
Q1024,C1024,24,Denise Chapman,Denise,Chapman,Cancellation due to non-payment,NY,1024,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,4297.26,2021-12-31,2022-11-04,,2022-12-31,2023-01-01,4499.69,57,Retail,6189778.49,Credit Card,1,3797.26,12,1
Q1025,C1025,25,Richard Hall,Richard,Hall,Cancellation due to non-payment,NY,1025,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5104.63,2022-01-31,2022-11-04,,2023-01-31,2023-02-01,5331.41,28,Manufacturing,9114996.6,Credit Card,1,4604.63,12,1
Q1026,C1026,26,Jon Smith,Jon,Smith,Cancellation due to non-payment,NY,1026,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8066.58,2022-02-28,2022-11-04,,2023-02-28,2023-03-01,8045.78,78,Retail,5147554.69,Credit Card,0,7566.58,12,1
Q1027,C1027,27,Jim Harris,Jim,Harris,Cancellation due to non-payment,NY,1027,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2797.06,2022-03-31,2022-11-04,2022-10-17,2023-03-31,,2898.33,69,Retail,5062628.88,Cheque,0,2297.06,12,0
Q1028,C1028,28,John Cross,John,Cross,Cancellation due to non-payment,NY,1028,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5628.11,2022-04-30,2022-11-04,2022-09-26,2023-04-30,,5822.03,59,Consulting,597405.8,Cheque,0,5128.11,12,0
Q1029,C1029,29,John Booker,John,Booker,Cancellation due to non-payment,NY,1029,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6331.73,2022-05-31,2022-11-04,2023-01-07,2023-05-31,,6217.19,33,Manufacturing,445624.37,Credit Card,1,5831.73,12,0
Q1030,C1030,30,Arthur Moreno,Arthur,Moreno,Cancellation due to non-payment,NY,1030,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1418.05,2022-06-30,2022-11-04,2023-04-20,2023-06-30,,1464.69,62,Construction,5556483.62,Cheque,0,918.05,12,0
Q1031,C1031,31,Angela Jones MD,Angela,MD,Cancellation due to non-payment,NY,1031,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6467.9,2022-07-31,2022-11-04,2022-08-24,2023-07-31,,6168.44,50,Retail,4437968.27,Cheque,1,5967.9,12,0
Q1032,C1032,32,Vanessa Thompson,Vanessa,Thompson,Cancellation due to non-payment,NY,1032,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2534.72,2022-08-31,2022-11-04,,2023-08-31,2023-09-01,2559.12,19,Construction,8407885.91,ACH Transfer,0,2034.72,12,1
Q1033,C1033,33,Jessica Estrada,Jessica,Estrada,Cancellation due to non-payment,NY,1033,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1585.46,2022-09-30,2022-11-04,,2023-09-30,2023-10-01,1542.65,86,Manufacturing,1690727.89,Credit Card,0,1085.46,12,1
Q1034,C1034,34,Trevor Stone PhD,Trevor,PhD,Cancellation due to non-payment,NY,1034,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9539.97,2022-10-31,2022-11-04,2023-10-03,2023-10-31,,9177.99,69,Retail,347219.45,Cheque,0,9039.97,12,0
Q1035,C1035,35,Cody Simon,Cody,Simon,Cancellation due to non-payment,NY,1035,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9690.69,2022-11-30,2022-11-04,2022-12-12,2023-11-30,,9280.73,66,Consulting,4545483.8,ACH Transfer,0,9190.69,12,0
Q1036,C1036,36,Alicia Sanders,Alicia,Sanders,Cancellation due to non-payment,NY,1036,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8275.58,2022-12-31,2022-11-04,2023-05-27,2023-12-31,,8438.02,94,Technology,2451037.71,ACH Transfer,1,7775.58,12,0
Q1037,C1037,37,Aaron Holt,Aaron,Holt,Cancellation due to non-payment,NY,1037,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3741.52,2023-01-31,2022-11-04,,2024-01-31,2024-02-01,3681.61,47,Consulting,591182.3,Credit Card,1,3241.52,12,1
Q1038,C1038,38,Gregory Benton,Gregory,Benton,Cancellation due to non-payment,NY,1038,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1879.05,2023-02-28,2022-11-04,,2024-02-28,2024-02-29,1921.28,39,Consulting,7273523.04,Credit Card,0,1379.05,12,1
Q1039,C1039,39,Tamara Gonzales,Tamara,Gonzales,Cancellation due to non-payment,NY,1039,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7158.1,2023-03-31,2022-11-04,,2024-03-31,2024-04-01,6846.98,68,Technology,1204770.7,ACH Transfer,1,6658.1,12,1
Q1040,C1040,40,Daniel Lam,Daniel,Lam,Cancellation due to non-payment,NY,1040,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,4961.37,2023-04-30,2022-11-04,2024-04-27,2024-04-30,,4869.73,33,Technology,6122363.05,Credit Card,0,4461.37,12,0
Q1041,C1041,41,Sabrina Noble,Sabrina,Noble,Cancellation due to non-payment,NY,1041,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2098.34,2023-05-31,2022-11-04,2024-01-19,2024-05-31,,2106.63,13,Technology,2882392.53,Credit Card,0,1598.34,12,0
Q1042,C1042,42,Bernard Sullivan,Bernard,Sullivan,Cancellation due to non-payment,NY,1042,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5456.59,2023-06-30,2022-11-04,2023-12-25,2024-06-30,,5615.23,84,Retail,1817610.9,ACH Transfer,0,4956.59,12,0
Q1043,C1043,43,Amanda Riley,Amanda,Riley,Cancellation due to non-payment,NY,1043,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1309.5,2023-07-31,2022-11-04,2024-01-21,2024-07-31,,1285.77,54,Construction,3859540.08,ACH Transfer,0,809.5,12,0
Q1044,C1044,44,Colin Buchanan,Colin,Buchanan,Cancellation due to non-payment,NY,1044,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9183.88,2023-08-31,2022-11-04,,2024-08-31,2024-09-01,9299.5,7,Construction,8034313.18,Credit Card,1,8683.88,12,1
Q1045,C1045,45,Dr. Meghan Williamson,Dr.,Williamson,Cancellation due to non-payment,NY,1045,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3329.02,2023-09-30,2022-11-04,2024-02-06,2024-09-30,,3457.51,79,Technology,3981726.41,Cheque,0,2829.02,12,0
Q1046,C1046,46,Joseph Garza,Joseph,Garza,Cancellation due to non-payment,NY,1046,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6962.7,2023-10-31,2022-11-04,2024-09-23,2024-10-31,,7043.37,87,Consulting,7532619.53,Credit Card,0,6462.7,12,0
Q1047,C1047,47,Melanie Howard,Melanie,Howard,Cancellation due to non-payment,NY,1047,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3805.4,2023-11-30,2022-11-04,2024-10-28,2024-11-30,,3703.78,14,Manufacturing,1342314.34,Cheque,1,3305.4,12,0
Q1048,C1048,48,Andrea Harding,Andrea,Harding,Cancellation due to non-payment,NY,1048,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5680.61,2023-12-31,2022-11-04,,2024-12-31,2025-01-01,5410.44,87,Technology,7750437.05,ACH Transfer,0,5180.61,12,1
Q1049,C1049,49,Vanessa Schneider,Vanessa,Schneider,Cancellation due to non-payment,NY,1049,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5920.39,2024-01-31,2022-11-04,,2025-01-31,2025-02-01,6139.5,19,Consulting,2445639.92,Cheque,1,5420.39,12,1
Q1050,C1050,50,Thomas Allison,Thomas,Allison,Cancellation due to non-payment,NY,1050,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2663.69,2024-02-29,2022-11-04,2025-01-02,2025-02-28,,2536.17,54,Consulting,6806191.99,ACH Transfer,0,2163.69,12,0
Q1051,C1051,51,Angelica Taylor,Angelica,Taylor,Cancellation due to non-payment,NY,1051,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9726.26,2024-03-31,2022-11-04,,2025-03-31,2025-04-01,10090.7,93,Retail,5701237.39,Credit Card,0,9226.26,12,1
Q1052,C1052,52,Kimberly Baker,Kimberly,Baker,Cancellation due to non-payment,NY,1052,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7976.2,2024-04-30,2022-11-04,,2025-04-30,2025-05-01,7999.28,20,Retail,9298532.7,Credit Card,0,7476.2,12,1
Q1053,C1053,53,Regina Ross,Regina,Ross,Cancellation due to non-payment,NY,1053,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9455.49,2024-05-31,2022-11-04,,2025-05-31,2025-06-01,9870.65,29,Construction,3934492.93,ACH Transfer,0,8955.49,12,1
Q1054,C1054,54,Johnny Sanchez,Johnny,Sanchez,Cancellation due to non-payment,NY,1054,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9053.45,2024-06-30,2022-11-04,,2025-06-30,2025-07-01,9323.95,24,Construction,755035.37,ACH Transfer,0,8553.45,12,1
Q1055,C1055,55,John Wilson,John,Wilson,Cancellation due to non-payment,NY,1055,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6381.1,2024-07-31,2022-11-04,,2025-07-31,2025-08-01,6698.84,82,Manufacturing,289639.31,ACH Transfer,0,5881.1,12,1
Q1056,C1056,56,Hayley Arnold,Hayley,Arnold,Cancellation due to non-payment,NY,1056,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9296.87,2024-08-31,2022-11-04,2025-01-29,2025-08-31,,9158.08,63,Manufacturing,8285899.75,Credit Card,1,8796.87,12,0
Q1057,C1057,57,Jonathan Dawson,Jonathan,Dawson,Cancellation due to non-payment,NY,1057,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1796.43,2024-09-30,2022-11-04,2024-12-10,2025-09-30,,1844.43,74,Manufacturing,5294882.81,Credit Card,0,1296.43,12,0
Q1058,C1058,58,Jesse Young DDS,Jesse,DDS,Cancellation due to non-payment,NY,1058,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2763.85,2024-10-31,2022-11-04,2025-01-27,2025-10-31,,2736.75,57,Manufacturing,7774916.11,Cheque,1,2263.85,12,0
Q1059,C1059,59,Elizabeth Clark,Elizabeth,Clark,Cancellation due to non-payment,NY,1059,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1407.05,2024-11-30,2022-11-04,,2025-11-30,2025-12-01,1404.22,8,Consulting,2420813.44,ACH Transfer,1,907.05,12,1
Q1060,C1060,60,Nancy Nielsen,Nancy,Nielsen,Cancellation due to non-payment,NY,1060,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3927.97,2024-12-31,2022-11-04,,2025-12-31,2026-01-01,3978.05,90,Consulting,3516329.08,Cheque,0,3427.97,12,1
Q1061,C1061,61,Shannon Turner,Shannon,Turner,Cancellation due to non-payment,NY,1061,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,4498.1,2025-01-31,2022-11-04,,2026-01-31,2026-02-01,4666.18,62,Construction,398028.33,Credit Card,1,3998.1,12,1
Q1062,C1062,62,William Hahn,William,Hahn,Cancellation due to non-payment,NY,1062,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3442.14,2025-02-28,2022-11-04,,2026-02-28,2026-03-01,3608.77,29,Retail,9618774.01,Cheque,0,2942.14,12,1
Q1063,C1063,63,Dawn Russo,Dawn,Russo,Cancellation due to non-payment,NY,1063,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8458.64,2025-03-31,2022-11-04,2025-05-15,2026-03-31,,8685.56,74,Retail,6711892.28,Cheque,1,7958.64,12,0
Q1064,C1064,64,Joseph Young,Joseph,Young,Cancellation due to non-payment,NY,1064,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,4210.78,2025-04-30,2022-11-04,2026-02-10,2026-04-30,,4176.15,17,Technology,9338730.37,Credit Card,0,3710.78,12,0
Q1065,C1065,65,Kenneth King,Kenneth,King,Cancellation due to non-payment,NY,1065,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3528.41,2025-05-31,2022-11-04,2026-04-02,2026-05-31,,3500.66,66,Consulting,2728414.43,Credit Card,1,3028.41,12,0
Q1066,C1066,66,Robert Lynn,Robert,Lynn,Cancellation due to non-payment,NY,1066,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5884.26,2025-06-30,2022-11-04,2026-04-19,2026-06-30,,6024.06,6,Manufacturing,6153489.75,ACH Transfer,1,5384.26,12,0
Q1067,C1067,67,Alexander Moore,Alexander,Moore,Cancellation due to non-payment,NY,1067,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2268.32,2025-07-31,2022-11-04,2026-06-10,2026-07-31,,2209.07,58,Manufacturing,6817149.69,Cheque,0,1768.32,12,0
Q1068,C1068,68,Angela Norris,Angela,Norris,Cancellation due to non-payment,NY,1068,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8219.77,2025-08-31,2022-11-04,2025-11-06,2026-08-31,,7899.59,69,Technology,3243742.03,Credit Card,1,7719.77,12,0
Q1069,C1069,69,Jennifer Rodriguez,Jennifer,Rodriguez,Cancellation due to non-payment,NY,1069,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1670.96,2025-09-30,2022-11-04,,2026-09-30,2026-10-01,1646.67,28,Retail,8496281.43,Credit Card,0,1170.96,12,1
Q1070,C1070,70,Ryan Henry,Ryan,Henry,Cancellation due to non-payment,NY,1070,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9881.98,2025-10-31,2022-11-04,,2026-10-31,2026-11-01,9671.73,62,Manufacturing,9476898.48,Cheque,0,9381.98,12,1
Q1071,C1071,71,Kathleen Scott,Kathleen,Scott,Cancellation due to non-payment,NY,1071,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7950.2,2025-11-30,2022-11-04,2026-06-19,2026-11-30,,7788.26,41,Retail,8860065.67,Credit Card,0,7450.2,12,0
Q1072,C1072,72,Andrew Rhodes,Andrew,Rhodes,Cancellation due to non-payment,NY,1072,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2788.44,2025-12-31,2022-11-04,,2026-12-31,2027-01-01,2714.16,69,Technology,7416763.06,ACH Transfer,0,2288.44,12,1
Q1073,C1073,73,Sara Peters,Sara,Peters,Cancellation due to non-payment,NY,1073,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1049.7,2026-01-31,2022-11-04,2026-07-29,2027-01-31,,1001.63,82,Retail,2846900.33,ACH Transfer,0,549.7,12,0
Q1074,C1074,74,Brandon Maxwell,Brandon,Maxwell,Cancellation due to non-payment,NY,1074,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8339.15,2026-02-28,2022-11-04,2026-03-02,2027-02-28,,7937.1,90,Retail,2887998.82,Cheque,1,7839.15,12,0
Q1075,C1075,75,Michael Meadows,Michael,Meadows,Cancellation due to non-payment,NY,1075,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7361.72,2026-03-31,2022-11-04,,2027-03-31,2027-04-01,7720.77,84,Retail,9637267.17,ACH Transfer,1,6861.72,12,1
Q1076,C1076,76,Lisa Dixon,Lisa,Dixon,Cancellation due to non-payment,NY,1076,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7561.06,2026-04-30,2022-11-04,2026-06-10,2027-04-30,,7506.45,41,Manufacturing,201816.51,Credit Card,1,7061.06,12,0
Q1077,C1077,77,Amanda Merritt,Amanda,Merritt,Cancellation due to non-payment,NY,1077,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7941.43,2026-05-31,2022-11-04,2027-02-13,2027-05-31,,7849.57,49,Construction,7188894.74,Credit Card,0,7441.43,12,0
Q1078,C1078,78,Adam Clark,Adam,Clark,Cancellation due to non-payment,NY,1078,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1666.4,2026-06-30,2022-11-04,2027-02-10,2027-06-30,,1696.34,91,Consulting,7091837.01,Credit Card,1,1166.4,12,0
Q1079,C1079,79,Julia Lee,Julia,Lee,Cancellation due to non-payment,NY,1079,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,4226.19,2026-07-31,2022-11-04,,2027-07-31,2027-08-01,4107.12,49,Retail,6264626.46,Credit Card,1,3726.19,12,1
Q1080,C1080,80,Alexis Griffin,Alexis,Griffin,Cancellation due to non-payment,NY,1080,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2042.82,2026-08-31,2022-11-04,,2027-08-31,2027-09-01,2134.74,76,Retail,9902077.58,Cheque,1,1542.82,12,1
Q1081,C1081,81,Jenna Mason,Jenna,Mason,Cancellation due to non-payment,NY,1081,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8767.93,2026-09-30,2022-11-04,,2027-09-30,2027-10-01,9019.0,71,Retail,3187606.41,ACH Transfer,1,8267.93,12,1
Q1082,C1082,82,Barbara Maxwell,Barbara,Maxwell,Cancellation due to non-payment,NY,1082,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6609.68,2026-10-31,2022-11-04,,2027-10-31,2027-11-01,6338.29,3,Construction,3465721.45,ACH Transfer,1,6109.68,12,1
Q1083,C1083,83,Tom Leonard,Tom,Leonard,Cancellation due to non-payment,NY,1083,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3978.08,2026-11-30,2022-11-04,2027-10-09,2027-11-30,,3945.29,10,Technology,881500.09,Credit Card,0,3478.08,12,0
Q1084,C1084,84,Mrs. Brianna Velasquez,Mrs.,Velasquez,Cancellation due to non-payment,NY,1084,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1572.03,2026-12-31,2022-11-04,,2027-12-31,2028-01-01,1631.63,98,Manufacturing,4483701.55,Cheque,0,1072.03,12,1
Q1085,C1085,85,Amanda Jackson,Amanda,Jackson,Cancellation due to non-payment,NY,1085,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3798.84,2027-01-31,2022-11-04,,2028-01-31,2028-02-01,3967.79,89,Construction,2684380.41,Credit Card,1,3298.84,12,1
Q1086,C1086,86,Jeffrey Martinez,Jeffrey,Martinez,Cancellation due to non-payment,NY,1086,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,3926.65,2027-02-28,2022-11-04,,2028-02-28,2028-02-29,3913.85,35,Retail,3499528.35,Credit Card,0,3426.65,12,1
Q1087,C1087,87,Mitchell Reynolds,Mitchell,Reynolds,Cancellation due to non-payment,NY,1087,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7566.46,2027-03-31,2022-11-04,2027-07-21,2028-03-31,,7652.27,80,Construction,8362260.72,Cheque,0,7066.46,12,0
Q1088,C1088,88,Kent Conley,Kent,Conley,Cancellation due to non-payment,NY,1088,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6738.02,2027-04-30,2022-11-04,,2028-04-30,2028-05-01,6513.67,2,Construction,9361296.68,Cheque,1,6238.02,12,1
Q1089,C1089,89,Mary Beck,Mary,Beck,Cancellation due to non-payment,NY,1089,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8984.91,2027-05-31,2022-11-04,,2028-05-31,2028-06-01,9426.22,24,Construction,1938757.41,Credit Card,1,8484.91,12,1
Q1090,C1090,90,Robert Daniels,Robert,Daniels,Cancellation due to non-payment,NY,1090,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,5249.93,2027-06-30,2022-11-04,2027-08-11,2028-06-30,,5109.06,74,Technology,3787838.42,ACH Transfer,0,4749.93,12,0
Q1091,C1091,91,Daniel Dalton,Daniel,Dalton,Cancellation due to non-payment,NY,1091,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2076.35,2027-07-31,2022-11-04,2028-07-08,2028-07-31,,2168.28,38,Consulting,9293442.56,Credit Card,1,1576.35,12,0
Q1092,C1092,92,Austin James,Austin,James,Cancellation due to non-payment,NY,1092,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7419.2,2027-08-31,2022-11-04,2027-12-05,2028-08-31,,7530.23,22,Manufacturing,711903.76,ACH Transfer,0,6919.2,12,0
Q1093,C1093,93,Sandra Smith,Sandra,Smith,Cancellation due to non-payment,NY,1093,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7847.07,2027-09-30,2022-11-04,2028-04-30,2028-09-30,,7931.61,26,Technology,1014369.23,ACH Transfer,0,7347.07,12,0
