customerId,customerName,id,lineOfBusinessCode,totalPremium,effectiveDate,cancellationDate,expirationDate,RenewalDate,renewalPremium,numberOfEmployees,businessIndustry,annualRevenue,paymentMethod,claimsCount,claimAmount,durationInMonths,RenewalStatus
42,Diana Mann,1042,GL,5456.59,2023-06-30,2023-10-13,2024-06-30,,5615.23,84,Retail,1817610.9,ACH Transfer,0,4956.59,12,
43,Richard Duarte,1043,GL,1309.5,2023-07-31,2024-06-29,2024-07-31,,1285.77,54,Construction,3859540.08,ACH Transfer,0,809.5,12,
44,Bruce Williams,1044,GL,9183.88,2023-08-31,,2024-08-31,2024-09-01,9299.5,7,Construction,8034313.18,Credit Card,1,8683.88,12,
45,Angela Hall,1045,GL,3329.02,2023-09-30,2023-12-05,2024-09-30,,3457.51,79,Technology,3981726.41,Cheque,0,2829.02,12,
46,Steven Newton,1046,GL,6962.7,2023-10-31,2024-02-21,2024-10-31,,7043.37,87,Consulting,7532619.53,Credit Card,0,6462.7,12,
47,Jesse Morse,1047,GL,3805.4,2023-11-30,2023-12-12,2024-11-30,,3703.78,14,Manufacturing,1342314.34,Cheque,1,3305.4,12,
48,Stephanie Thompson,1048,GL,5680.61,2023-12-31,,2024-12-31,2025-01-01,5410.44,87,Technology,7750437.05,ACH Transfer,0,5180.61,12,
49,Emily Perez,1049,GL,5920.39,2024-01-31,,2025-01-31,2025-02-01,6139.5,19,Consulting,2445639.92,Cheque,1,5420.39,12,
50,Gary Moore,1050,GL,2663.69,2024-02-29,2024-09-15,2025-02-28,,2536.17,54,Consulting,6806191.99,ACH Transfer,0,2163.69,12,
51,Anthony Garza,1051,GL,9726.26,2024-03-31,,2025-03-31,2025-04-01,10090.7,93,Retail,5701237.39,Credit Card,0,9226.26,12,
52,Michael Riddle,1052,GL,7976.2,2024-04-30,,2025-04-30,2025-05-01,7999.28,20,Retail,9298532.7,Credit Card,0,7476.2,12,
53,Kimberly Lopez,1053,GL,9455.49,2024-05-31,,2025-05-31,2025-06-01,9870.65,29,Construction,3934492.93,ACH Transfer,0,8955.49,12,
54,Marie Burton,1054,GL,9053.45,2024-06-30,,2025-06-30,2025-07-01,9323.95,24,Construction,755035.37,ACH Transfer,0,8553.45,12,
55,Jessica Johnson,1055,GL,6381.1,2024-07-31,,2025-07-31,2025-08-01,6698.84,82,Manufacturing,289639.31,ACH Transfer,0,5881.1,12,
56,Adrian Acosta,1056,GL,9296.87,2024-08-31,2025-02-11,2025-08-31,,9158.08,63,Manufacturing,8285899.75,Credit Card,1,8796.87,12,
57,Kelly Tucker,1057,GL,1796.43,2024-09-30,2025-07-29,2025-09-30,,1844.43,74,Manufacturing,5294882.81,Credit Card,0,1296.43,12,
58,Marcus Wilson,1058,GL,2763.85,2024-10-31,2025-05-06,2025-10-31,,2736.75,57,Manufacturing,7774916.11,Cheque,1,2263.85,12,
59,Jessica Chen,1059,GL,1407.05,2024-11-30,,2025-11-30,2025-12-01,1404.22,8,Consulting,2420813.44,ACH Transfer,1,907.05,12,
60,Susan Lewis,1060,GL,3927.97,2024-12-31,,2025-12-31,2026-01-01,3978.05,90,Consulting,3516329.08,Cheque,0,3427.97,12,
61,Mr. Lawrence Adkins,1061,GL,4498.1,2025-01-31,,2026-01-31,2026-02-01,4666.18,62,Construction,398028.33,Credit Card,1,3998.1,12,
62,Jenna Carlson,1062,GL,3442.14,2025-02-28,,2026-02-28,2026-03-01,3608.77,29,Retail,9618774.01,Cheque,0,2942.14,12,
63,Betty Lindsey,1063,GL,8458.64,2025-03-31,2025-06-24,2026-03-31,,8685.56,74,Retail,6711892.28,Cheque,1,7958.64,12,
64,Alexis King,1064,GL,4210.78,2025-04-30,2025-09-27,2026-04-30,,4176.15,17,Technology,9338730.37,Credit Card,0,3710.78,12,
65,Michael Williams,1065,GL,3528.41,2025-05-31,2026-05-08,2026-05-31,,3500.66,66,Consulting,2728414.43,Credit Card,1,3028.41,12,
66,Heather Brown,1066,GL,5884.26,2025-06-30,2026-01-20,2026-06-30,,6024.06,6,Manufacturing,6153489.75,ACH Transfer,1,5384.26,12,
67,Richard Williams,1067,GL,2268.32,2025-07-31,2026-01-25,2026-07-31,,2209.07,58,Manufacturing,6817149.69,Cheque,0,1768.32,12,
68,Terry Brown,1068,GL,8219.77,2025-08-31,2026-07-06,2026-08-31,,7899.59,69,Technology,3243742.03,Credit Card,1,7719.77,12,
69,Edward Gonzalez,1069,GL,1670.96,2025-09-30,,2026-09-30,2026-10-01,1646.67,28,Retail,8496281.43,Credit Card,0,1170.96,12,
70,Anthony Farmer,1070,GL,9881.98,2025-10-31,,2026-10-31,2026-11-01,9671.73,62,Manufacturing,9476898.48,Cheque,0,9381.98,12,
71,Adam Bryant,1071,GL,7950.2,2025-11-30,2026-10-03,2026-11-30,,7788.26,41,Retail,8860065.67,Credit Card,0,7450.2,12,
72,Summer Jackson,1072,GL,2788.44,2025-12-31,,2026-12-31,2027-01-01,2714.16,69,Technology,7416763.06,ACH Transfer,0,2288.44,12,
73,William Montoya,1073,GL,1049.7,2026-01-31,2026-05-06,2027-01-31,,1001.63,82,Retail,2846900.33,ACH Transfer,0,549.7,12,
74,Dr. Ryan Gordon,1074,GL,8339.15,2026-02-28,2027-01-07,2027-02-28,,7937.1,90,Retail,2887998.82,Cheque,1,7839.15,12,
75,Mr. Gary Landry DDS,1075,GL,7361.72,2026-03-31,,2027-03-31,2027-04-01,7720.77,84,Retail,9637267.17,ACH Transfer,1,6861.72,12,
76,Kevin Delgado,1076,GL,7561.06,2026-04-30,2027-02-18,2027-04-30,,7506.45,41,Manufacturing,201816.51,Credit Card,1,7061.06,12,
77,Douglas Key,1077,GL,7941.43,2026-05-31,2027-03-12,2027-05-31,,7849.57,49,Construction,7188894.74,Credit Card,0,7441.43,12,
78,Lorraine Jackson,1078,GL,1666.4,2026-06-30,2027-06-10,2027-06-30,,1696.34,91,Consulting,7091837.01,Credit Card,1,1166.4,12,
79,Cathy Reilly,1079,GL,4226.19,2026-07-31,,2027-07-31,2027-08-01,4107.12,49,Retail,6264626.46,Credit Card,1,3726.19,12,
80,Miss Danielle Graham MD,1080,GL,2042.82,2026-08-31,,2027-08-31,2027-09-01,2134.74,76,Retail,9902077.58,Cheque,1,1542.82,12,
81,Lauren Simmons,1081,GL,8767.93,2026-09-30,,2027-09-30,2027-10-01,9019.0,71,Retail,3187606.41,ACH Transfer,1,8267.93,12,
82,Desiree Moore,1082,GL,6609.68,2026-10-31,,2027-10-31,2027-11-01,6338.29,3,Construction,3465721.45,ACH Transfer,1,6109.68,12,
83,Jennifer Cruz,1083,GL,3978.08,2026-11-30,2027-04-29,2027-11-30,,3945.29,10,Technology,881500.09,Credit Card,0,3478.08,12,
84,Holly James,1084,GL,1572.03,2026-12-31,,2027-12-31,2028-01-01,1631.63,98,Manufacturing,4483701.55,Cheque,0,1072.03,12,
85,Gregory Brown,1085,GL,3798.84,2027-01-31,,2028-01-31,2028-02-01,3967.79,89,Construction,2684380.41,Credit Card,1,3298.84,12,
86,Claire Thompson,1086,GL,3926.65,2027-02-28,,2028-02-28,2028-02-29,3913.85,35,Retail,3499528.35,Credit Card,0,3426.65,12,
87,Claudia Gonzalez,1087,GL,7566.46,2027-03-31,2028-03-27,2028-03-31,,7652.27,80,Construction,8362260.72,Cheque,0,7066.46,12,
88,Kimberly Walker,1088,GL,6738.02,2027-04-30,,2028-04-30,2028-05-01,6513.67,2,Construction,9361296.68,Cheque,1,6238.02,12,
89,William Vargas,1089,GL,8984.91,2027-05-31,,2028-05-31,2028-06-01,9426.22,24,Construction,1938757.41,Credit Card,1,8484.91,12,
90,Kimberly Love,1090,GL,5249.93,2027-06-30,2028-02-05,2028-06-30,,5109.06,74,Technology,3787838.42,ACH Transfer,0,4749.93,12,
91,James Miller,1091,GL,2076.35,2027-07-31,2028-07-12,2028-07-31,,2168.28,38,Consulting,9293442.56,Credit Card,1,1576.35,12,
92,Shaun Morrison,1092,GL,7419.2,2027-08-31,2028-05-22,2028-08-31,,7530.23,22,Manufacturing,711903.76,ACH Transfer,0,6919.2,12,
93,Katie Bailey,1093,GL,7847.07,2027-09-30,2027-12-08,2028-09-30,,7931.61,26,Technology,1014369.23,ACH Transfer,0,7347.07,12,
94,Brittany Rojas,1094,GL,6051.49,2027-10-31,,2028-10-31,2028-11-01,6059.17,43,Technology,1711630.79,Cheque,1,5551.49,12,
95,Eric Parker,1095,GL,7938.7,2027-11-30,2028-03-06,2028-11-30,,7724.89,55,Consulting,5992607.06,Cheque,0,7438.7,12,
96,Jamie Jordan,1096,GL,5444.16,2027-12-31,,2028-12-31,2029-01-01,5268.06,39,Technology,1589675.48,Credit Card,0,4944.16,12,
97,Chris Hall,1097,GL,5704.6,2028-01-31,,2029-01-31,2029-02-01,5545.15,91,Construction,9683956.18,ACH Transfer,0,5204.6,12,
146,Steven Harvey,1146,GL,1331.98,2032-02-29,,2033-02-28,2033-03-01,1382.41,68,Construction,4055235.97,Cheque,0,831.98,12,
98,Steven Peters,1098,GL,4847.87,2028-02-29,,2029-02-28,2029-03-01,4695.86,29,Construction,4522473.82,ACH Transfer,1,4347.87,12,
99,Leah Horn,1099,GL,1228.77,2028-03-31,,2029-03-31,2029-04-01,1263.12,20,Retail,5065027.81,Credit Card,1,728.77,12,
100,Randall Valdez,1100,GL,1971.02,2028-04-30,,2029-04-30,2029-05-01,1941.48,91,Technology,2541920.3,Credit Card,1,1471.02,12,
101,Laura Chapman,1101,GL,1282.86,2028-05-31,2028-07-04,2029-05-31,,1226.14,41,Retail,4762506.5,Credit Card,1,782.86,12,
102,Melanie Gutierrez,1102,GL,6727.69,2028-06-30,,2029-06-30,2029-07-01,7043.29,54,Manufacturing,6652944.96,Cheque,0,6227.69,12,
103,Christopher Richards,1103,GL,3829.2,2028-07-31,,2029-07-31,2029-08-01,3976.16,20,Construction,7536653.66,Credit Card,1,3329.2,12,
104,Robyn Fritz,1104,GL,5577.14,2028-08-31,,2029-08-31,2029-09-01,5815.7,19,Manufacturing,7563294.02,Credit Card,1,5077.14,12,
105,Melissa Cannon,1105,GL,9168.1,2028-09-30,2029-08-22,2029-09-30,,9621.84,84,Consulting,5821122.02,ACH Transfer,1,8668.1,12,
106,Nicholas Myers,1106,GL,3243.63,2028-10-31,,2029-10-31,2029-11-01,3137.85,99,Construction,9053161.77,Credit Card,1,2743.63,12,
107,William Bartlett,1107,GL,4693.45,2028-11-30,,2029-11-30,2029-12-01,4644.75,66,Manufacturing,8192337.69,ACH Transfer,0,4193.45,12,
108,Robert Thornton,1108,GL,7799.96,2028-12-31,2029-01-18,2029-12-31,,8001.38,30,Consulting,7594776.34,ACH Transfer,0,7299.96,12,
109,Nicole Lewis,1109,GL,3059.18,2029-01-31,,2030-01-31,2030-02-01,3119.15,53,Manufacturing,650494.66,Cheque,0,2559.18,12,
110,Grant Levy,1110,GL,1692.82,2029-02-28,,2030-02-28,2030-03-01,1634.23,34,Consulting,168091.83,Credit Card,1,1192.82,12,
111,Kevin Clark,1111,GL,3607.76,2029-03-31,2029-09-24,2030-03-31,,3721.71,22,Consulting,2203228.04,Credit Card,1,3107.76,12,
112,Kelsey Smith,1112,GL,2450.99,2029-04-30,,2030-04-30,2030-05-01,2383.45,67,Construction,6668883.58,ACH Transfer,0,1950.99,12,
113,Leslie Rodriguez,1113,GL,9367.28,2029-05-31,,2030-05-31,2030-06-01,9108.57,6,Retail,4170855.14,Cheque,1,8867.28,12,
114,Matthew Johnson,1114,GL,8273.08,2029-06-30,,2030-06-30,2030-07-01,8303.67,79,Consulting,4083821.97,Cheque,1,7773.08,12,
115,Brandy Harvey,1115,GL,6700.63,2029-07-31,,2030-07-31,2030-08-01,6762.91,27,Consulting,8857410.19,Credit Card,0,6200.63,12,
116,Whitney Perez,1116,GL,8843.15,2029-08-31,,2030-08-31,2030-09-01,8913.97,10,Construction,8966072.2,ACH Transfer,0,8343.15,12,
117,Troy Sherman,1117,GL,8233.05,2029-09-30,2030-05-05,2030-09-30,,7896.72,73,Retail,9100835.11,Credit Card,1,7733.05,12,
118,Rebecca Lynn,1118,GL,2679.13,2029-10-31,2030-07-06,2030-10-31,,2780.26,97,Technology,3207392.96,Credit Card,1,2179.13,12,
119,Richard Bowers,1119,GL,9033.03,2029-11-30,2030-11-06,2030-11-30,,8821.3,96,Technology,6941452.55,Credit Card,1,8533.03,12,
120,Greg Fernandez,1120,GL,5854.08,2029-12-31,,2030-12-31,2031-01-01,5637.2,48,Retail,2789168.49,Credit Card,0,5354.08,12,
121,Daniel Sullivan,1121,GL,8266.96,2030-01-31,,2031-01-31,2031-02-01,8588.34,70,Manufacturing,1987037.35,ACH Transfer,0,7766.96,12,
122,Richard Brooks,1122,GL,9064.82,2030-02-28,,2031-02-28,2031-03-01,9477.86,59,Construction,1927861.33,Cheque,0,8564.82,12,
123,Donna Medina,1123,GL,3862.03,2030-03-31,2030-12-28,2031-03-31,,4001.88,59,Retail,3486865.45,Credit Card,0,3362.03,12,
124,Paul Stewart,1124,GL,1990.47,2030-04-30,,2031-04-30,2031-05-01,2052.08,2,Technology,4356580.44,Credit Card,1,1490.47,12,
125,Lisa Odom,1125,GL,3051.42,2030-05-31,,2031-05-31,2031-06-01,3098.79,29,Consulting,8326396.79,Credit Card,0,2551.42,12,
126,Cindy Allen,1126,GL,4843.97,2030-06-30,,2031-06-30,2031-07-01,4868.61,68,Technology,1286921.83,Credit Card,0,4343.97,12,
127,Carla Kennedy MD,1127,GL,8362.13,2030-07-31,2030-08-30,2031-07-31,,8016.76,65,Consulting,7375765.89,Cheque,1,7862.13,12,
128,Tyler Fitzgerald,1128,GL,8746.58,2030-08-31,2030-12-26,2031-08-31,,8666.51,83,Construction,5361403.65,Cheque,1,8246.58,12,
129,Becky Boyle,1129,GL,1062.57,2030-09-30,,2031-09-30,2031-10-01,1049.04,26,Consulting,2950658.89,Cheque,1,562.57,12,
130,Kristen Cooper,1130,GL,5596.73,2030-10-31,,2031-10-31,2031-11-01,5462.27,89,Retail,4978913.89,Cheque,0,5096.73,12,
131,Lauren Spencer,1131,GL,4756.7,2030-11-30,,2031-11-30,2031-12-01,4862.97,10,Consulting,3069426.49,Credit Card,1,4256.7,12,
132,Cynthia Crosby,1132,GL,2998.97,2030-12-31,2031-03-12,2031-12-31,,2997.73,53,Manufacturing,6001211.36,ACH Transfer,1,2498.97,12,
133,William Thompson,1133,GL,2078.79,2031-01-31,2031-12-12,2032-01-31,,1991.7,79,Retail,4395054.84,Cheque,0,1578.79,12,
134,Nicholas Martin,1134,GL,4038.54,2031-02-28,2031-07-22,2032-02-28,,3925.53,59,Construction,1727614.74,Cheque,0,3538.54,12,
135,Brandon Mason,1135,GL,9486.19,2031-03-31,,2032-03-31,2032-04-01,9660.03,22,Retail,1254172.44,Credit Card,1,8986.19,12,
136,Alicia Young,1136,GL,3908.83,2031-04-30,2031-07-12,2032-04-30,,3743.15,51,Manufacturing,5512287.25,Credit Card,0,3408.83,12,
137,Alexandra Thomas,1137,GL,5669.12,2031-05-31,,2032-05-31,2032-06-01,5868.22,48,Construction,9033889.03,Credit Card,1,5169.12,12,
138,Jessica Scott,1138,GL,7327.17,2031-06-30,,2032-06-30,2032-07-01,7323.61,21,Technology,3505181.1,Credit Card,1,6827.17,12,
139,Nancy Mata,1139,GL,4272.67,2031-07-31,2032-04-21,2032-07-31,,4264.38,22,Manufacturing,7356701.06,ACH Transfer,0,3772.67,12,
140,Curtis Miller,1140,GL,9746.04,2031-08-31,,2032-08-31,2032-09-01,9836.1,98,Construction,6620747.41,ACH Transfer,1,9246.04,12,
141,William Proctor,1141,GL,9662.03,2031-09-30,2031-10-22,2032-09-30,,9975.74,30,Consulting,9322393.65,Cheque,0,9162.03,12,
142,Nancy Roth,1142,GL,3266.04,2031-10-31,,2032-10-31,2032-11-01,3216.33,25,Retail,8227712.07,ACH Transfer,0,2766.04,12,
143,Joseph Brown,1143,GL,5475.24,2031-11-30,,2032-11-30,2032-12-01,5572.71,28,Construction,5709392.06,Cheque,0,4975.24,12,
144,Dustin Freeman,1144,GL,3707.9,2031-12-31,2032-02-09,2032-12-31,,3732.27,65,Retail,6604601.93,Cheque,1,3207.9,12,
145,Barbara Johnson,1145,GL,3563.56,2032-01-31,,2033-01-31,2033-02-01,3480.54,45,Consulting,8994026.02,ACH Transfer,0,3063.56,12,
147,Shelly Hill,1147,GL,6486.08,2032-03-31,,2033-03-31,2033-04-01,6678.99,7,Technology,3335267.59,Credit Card,1,5986.08,12,
148,Joseph Garcia,1148,GL,5524.11,2032-04-30,,2033-04-30,2033-05-01,5611.64,49,Manufacturing,207029.73,Cheque,1,5024.11,12,
149,Nicole Kennedy,1149,GL,1463.31,2032-05-31,,2033-05-31,2033-06-01,1514.61,9,Construction,8282855.63,Credit Card,1,963.31,12,
150,Judith Perkins,1150,GL,3507.82,2032-06-30,,2033-06-30,2033-07-01,3636.66,36,Consulting,8029708.93,ACH Transfer,1,3007.82,12,
151,Eric Terry,1151,GL,9174.39,2032-07-31,,2033-07-31,2033-08-01,9365.55,83,Construction,1134099.73,ACH Transfer,0,8674.39,12,
152,Daniel Cruz,1152,GL,3156.06,2032-08-31,,2033-08-31,2033-09-01,3262.42,1,Retail,5810888.07,Cheque,0,2656.06,12,
153,Kerry Evans,1153,GL,2304.05,2032-09-30,2033-08-25,2033-09-30,,2349.55,10,Construction,4693418.81,Credit Card,0,1804.05,12,
154,Justin Jordan,1154,GL,5405.07,2032-10-31,2033-08-15,2033-10-31,,5502.44,36,Technology,1275220.05,Cheque,1,4905.07,12,
155,Heidi Bentley,1155,GL,9870.85,2032-11-30,,2033-11-30,2033-12-01,9987.93,73,Construction,9807625.45,ACH Transfer,1,9370.85,12,
156,Judy Barker,1156,GL,3178.5,2032-12-31,,2033-12-31,2034-01-01,3258.83,46,Manufacturing,2225489.29,Cheque,0,2678.5,12,
157,Jessica Romero,1157,GL,7049.22,2033-01-31,2033-09-20,2034-01-31,,6808.56,32,Construction,765618.38,Cheque,1,6549.22,12,
158,Aaron Patel,1158,GL,7854.58,2033-02-28,,2034-02-28,2034-03-01,8153.74,32,Retail,5988989.06,Credit Card,1,7354.58,12,
159,Troy Sullivan,1159,GL,3138.74,2033-03-31,2034-01-03,2034-03-31,,3255.45,6,Construction,7414780.1,ACH Transfer,0,2638.74,12,
160,Joshua Turner,1160,GL,7553.95,2033-04-30,2033-06-16,2034-04-30,,7198.35,48,Technology,421190.12,Cheque,0,7053.95,12,
161,Michelle Jordan,1161,GL,4310.05,2033-05-31,2034-01-19,2034-05-31,,4450.48,38,Consulting,6621304.62,Credit Card,1,3810.05,12,
162,Kayla Patterson,1162,GL,6690.75,2033-06-30,,2034-06-30,2034-07-01,6442.44,17,Construction,5369689.57,Cheque,1,6190.75,12,
163,Brendan Banks,1163,GL,6701.77,2033-07-31,,2034-07-31,2034-08-01,6591.27,74,Construction,1122323.59,Credit Card,1,6201.77,12,
164,Colleen Ward,1164,GL,5821.97,2033-08-31,,2034-08-31,2034-09-01,5963.74,27,Manufacturing,1807986.38,Credit Card,0,5321.97,12,
165,Allen Jordan,1165,GL,1812.61,2033-09-30,2034-03-07,2034-09-30,,1751.12,54,Technology,5722945.54,Cheque,0,1312.61,12,
166,Sharon Davenport,1166,GL,8517.72,2033-10-31,2034-05-27,2034-10-31,,8788.56,50,Consulting,3033940.37,ACH Transfer,0,8017.72,12,
167,Mariah Mcdaniel,1167,GL,3887.02,2033-11-30,2034-10-14,2034-11-30,,4016.12,35,Retail,9389325.71,ACH Transfer,0,3387.02,12,
168,James Jones,1168,GL,2678.67,2033-12-31,,2034-12-31,2035-01-01,2680.67,85,Construction,8205528.27,Credit Card,0,2178.67,12,
169,Nicole Carter,1169,GL,1366.98,2034-01-31,2034-03-14,2035-01-31,,1299.5,25,Consulting,9837315.34,ACH Transfer,1,866.98,12,
170,Stacey Anderson,1170,GL,6318.04,2034-02-28,2034-09-22,2035-02-28,,6183.49,28,Retail,2670741.31,Credit Card,1,5818.04,12,
171,Sarah Schroeder,1171,GL,7098.08,2034-03-31,,2035-03-31,2035-04-01,7181.08,15,Technology,9700263.96,ACH Transfer,1,6598.08,12,
172,Stephanie Watson,1172,GL,1149.29,2034-04-30,2034-11-21,2035-04-30,,1204.59,4,Technology,4369215.31,Cheque,0,649.29,12,
173,Katie Robertson,1173,GL,5608.84,2034-05-31,2034-10-01,2035-05-31,,5682.77,93,Consulting,3540436.07,ACH Transfer,0,5108.84,12,
174,Thomas Martinez,1174,GL,3038.46,2034-06-30,,2035-06-30,2035-07-01,2965.48,73,Retail,598460.32,Credit Card,0,2538.46,12,
175,Leslie Chavez,1175,GL,6806.56,2034-07-31,,2035-07-31,2035-08-01,6897.77,27,Technology,622376.05,Credit Card,1,6306.56,12,
176,Michael Hayes,1176,GL,2569.3,2034-08-31,2035-05-19,2035-08-31,,2579.57,26,Consulting,6950911.43,ACH Transfer,0,2069.3,12,
177,Kimberly Howell,1177,GL,7218.44,2034-09-30,,2035-09-30,2035-10-01,7420.44,19,Technology,4633497.04,Cheque,0,6718.44,12,
178,Anthony Gamble,1178,GL,4480.62,2034-10-31,2035-04-09,2035-10-31,,4304.52,92,Technology,2342564.1,Credit Card,1,3980.62,12,
179,John Miller MD,1179,GL,9430.57,2034-11-30,,2035-11-30,2035-12-01,9676.73,17,Technology,6178306.03,Credit Card,0,8930.57,12,
