CustomerID,CustomerName,PolicyID,PolicyType,PolicyPremium,PolicyStartDate,PolicyEndDate,NumberOfEmployees,BusinessIndustry,AnnualRevenue,PaymentMethod,ClaimsCount,DurationInMonths,Churn
49,Rebekah Burgess,1049,General Liability,5920.392514089517,2024-01-31,2025-01-31,59,Construction,2978117,ACH Transfer,2,12,1
50,Richard Hill,1050,General Liability,2663.6900997297435,2024-02-29,2025-02-28,17,Technology,4581617,Credit Card,1,12,0
51,Caitlin Frye,1051,General Liability,9726.261649881028,2024-03-31,2025-03-31,14,Manufacturing,7474626,ACH Transfer,1,12,0
52,Anne Patel,1052,General Liability,7976.195410250031,2024-04-30,2025-04-30,31,Retail,5387913,Cheque,0,12,0
53,George Zimmerman,1053,General Liability,9455.490474077702,2024-05-31,2025-05-31,24,Technology,3833149,Cheque,2,12,0
54,Joseph Stephens,1054,General Liability,9053.44615384884,2024-06-30,2025-06-30,99,Technology,5416741,Cheque,0,12,0
55,Edward Mason,1055,General Liability,6381.099809299766,2024-07-31,2025-07-31,60,Technology,2904802,Credit Card,3,12,0
56,Jessica Richard,1056,General Liability,9296.868115208052,2024-08-31,2025-08-31,45,Retail,4257263,ACH Transfer,0,12,0
57,Ryan Brooks,1057,General Liability,1796.4325184672755,2024-09-30,2025-09-30,98,Retail,4588198,Credit Card,4,12,1
58,Matthew Nguyen,1058,General Liability,2763.845761772307,2024-10-31,2025-10-31,3,Consulting,9615406,Credit Card,0,12,0
59,Lawrence Smith,1059,General Liability,1407.0456001948426,2024-11-30,2025-11-30,37,Consulting,2833460,Cheque,4,12,0
60,Kristin Harris,1060,General Liability,3927.972976869379,2024-12-31,2025-12-31,43,Construction,7184609,ACH Transfer,4,12,0
61,Rachel Wilson,1061,General Liability,4498.095607205338,2025-01-31,2026-01-31,40,Retail,6316538,Cheque,4,12,0
62,Joshua Lewis,1062,General Liability,3442.141285965063,2025-02-28,2026-02-28,90,Retail,4215362,Credit Card,3,12,0
63,Alexandra Walker,1063,General Liability,8458.637582367364,2025-03-31,2026-03-31,55,Retail,1352557,Cheque,0,12,0
64,Rodney Potter,1064,General Liability,4210.779940242303,2025-04-30,2026-04-30,87,Consulting,1590687,ACH Transfer,0,12,0
65,Hunter Bennett,1065,General Liability,3528.4105871864267,2025-05-31,2026-05-31,39,Technology,9411768,Cheque,3,12,1
66,Susan Copeland,1066,General Liability,5884.264748424236,2025-06-30,2026-06-30,15,Manufacturing,4157025,ACH Transfer,2,12,0
67,Jacob Robinson,1067,General Liability,2268.3180247728637,2025-07-31,2026-07-31,4,Consulting,5372864,ACH Transfer,1,12,1
68,Alexander Moran,1068,General Liability,8219.772826786357,2025-08-31,2026-08-31,93,Retail,3888963,Cheque,0,12,0
69,Joseph Short,1069,General Liability,1670.9557931179374,2025-09-30,2026-09-30,86,Consulting,3974910,Credit Card,1,12,0
70,Michele Davis,1070,General Liability,9881.982429404656,2025-10-31,2026-10-31,25,Construction,3468045,Cheque,3,12,0
71,Christina Mercado,1071,General Liability,7950.202923669916,2025-11-30,2026-11-30,13,Retail,5285773,Credit Card,2,12,1
72,Michele Carlson,1072,General Liability,2788.4411338075515,2025-12-31,2026-12-31,82,Construction,4932691,Credit Card,2,12,0
73,Jodi Jackson,1073,General Liability,1049.6990541124217,2026-01-31,2027-01-31,33,Retail,1068616,Cheque,2,12,0
74,Kevin Bennett,1074,General Liability,8339.152856093508,2026-02-28,2027-02-28,16,Consulting,4317733,Credit Card,3,12,0
75,Maria Parsons,1075,General Liability,7361.716094628554,2026-03-31,2027-03-31,42,Technology,8014520,Credit Card,4,12,0
76,Daniel Combs,1076,General Liability,7561.0645123688855,2026-04-30,2027-04-30,66,Manufacturing,9739564,Cheque,4,12,0
77,Melissa Anderson,1077,General Liability,7941.433120173511,2026-05-31,2027-05-31,55,Construction,1590036,Cheque,1,12,0
78,Julie Anderson,1078,General Liability,1666.4018656068133,2026-06-30,2027-06-30,99,Consulting,2969729,Cheque,4,12,0
79,Lauren Smith,1079,General Liability,4226.191556898453,2026-07-31,2027-07-31,42,Technology,7685159,Credit Card,4,12,0
80,Billy Sanders,1080,General Liability,2042.8215357261674,2026-08-31,2027-08-31,34,Consulting,7279156,ACH Transfer,2,12,0
81,Maria Harris,1081,General Liability,8767.930832880342,2026-09-30,2027-09-30,30,Construction,9554531,Credit Card,2,12,0
82,Daniel Vaughan,1082,General Liability,6609.683141448021,2026-10-31,2027-10-31,13,Manufacturing,9044718,ACH Transfer,1,12,0
83,Ashley Estes,1083,General Liability,3978.0822236738427,2026-11-30,2027-11-30,13,Consulting,9452771,Cheque,0,12,1
84,Geoffrey Obrien,1084,General Liability,1572.0251525742128,2026-12-31,2027-12-31,18,Retail,8004428,ACH Transfer,1,12,0
85,Kimberly Colon,1085,General Liability,3798.8408954409597,2027-01-31,2028-01-31,32,Technology,4302271,Cheque,1,12,0
86,Danielle Perez,1086,General Liability,3926.6498982407234,2027-02-28,2028-02-28,96,Consulting,4142879,Cheque,3,12,0
87,Kevin Parker,1087,General Liability,7566.455605042576,2027-03-31,2028-03-31,99,Technology,2422523,ACH Transfer,3,12,0
88,Victoria Golden,1088,General Liability,6738.017242196918,2027-04-30,2028-04-30,39,Retail,9701869,Cheque,1,12,0
89,Peter Lewis,1089,General Liability,8984.914683186938,2027-05-31,2028-05-31,46,Manufacturing,4846771,ACH Transfer,1,12,1
90,Daniel Reynolds,1090,General Liability,5249.934326457544,2027-06-30,2028-06-30,29,Manufacturing,8740145,Cheque,1,12,0
91,Douglas Spencer,1091,General Liability,2076.3482134447154,2027-07-31,2028-07-31,62,Retail,1856124,Credit Card,4,12,0
92,Albert Campbell,1092,General Liability,7419.203085006955,2027-08-31,2028-08-31,93,Technology,941531,Credit Card,3,12,0
93,Lisa Nelson,1093,General Liability,7847.065437552077,2027-09-30,2028-09-30,62,Consulting,964645,Cheque,1,12,0
94,Scott Patel,1094,General Liability,6051.494778125466,2027-10-31,2028-10-31,57,Retail,1528127,Cheque,2,12,0
95,Christine Diaz,1095,General Liability,7938.704619591049,2027-11-30,2028-11-30,16,Construction,5230076,ACH Transfer,2,12,1
96,Sarah Fields,1096,General Liability,5444.160367279516,2027-12-31,2028-12-31,56,Technology,8959690,Credit Card,4,12,0
97,Ross Stephenson,1097,General Liability,5704.595464437946,2028-01-31,2029-01-31,10,Manufacturing,4354849,ACH Transfer,4,12,0
98,Gina Miller,1098,General Liability,4847.869165226946,2028-02-29,2029-02-28,30,Retail,7674587,Cheque,0,12,0
99,Nicole Collins,1099,General Liability,1228.7721406968567,2028-03-31,2029-03-31,25,Manufacturing,6615350,Cheque,0,12,0
100,Joseph Hunt,1100,General Liability,1971.02284293974,2028-04-30,2029-04-30,84,Technology,8436900,ACH Transfer,0,12,0
101,Sara Norris DDS,1101,General Liability,1282.8626711806082,2028-05-31,2029-05-31,5,Manufacturing,1715777,Cheque,4,12,0
102,John Travis,1102,General Liability,6727.6937013740235,2028-06-30,2029-06-30,65,Retail,3612664,Credit Card,4,12,0
103,Julie Thomas,1103,General Liability,3829.20382968694,2028-07-31,2029-07-31,94,Technology,1073181,ACH Transfer,4,12,0
104,Kathy Bradley,1104,General Liability,5577.136220482325,2028-08-31,2029-08-31,49,Construction,1591633,Credit Card,2,12,0
105,Ruben Myers,1105,General Liability,9168.098265334836,2028-09-30,2029-09-30,3,Retail,2161774,Credit Card,4,12,1
106,Laura Gray,1106,General Liability,3243.6300623398747,2028-10-31,2029-10-31,45,Consulting,2890358,Credit Card,2,12,0
107,Joshua Mckinney,1107,General Liability,4693.446307320668,2028-11-30,2029-11-30,14,Retail,3960562,ACH Transfer,0,12,0
108,Jeremy Meyer Jr.,1108,General Liability,7799.960246887438,2028-12-31,2029-12-31,30,Technology,7076610,Cheque,0,12,0
109,Mrs. Michele Dudley,1109,General Liability,3059.183489424602,2029-01-31,2030-01-31,68,Retail,1865524,Credit Card,0,12,0
110,Lindsey Garcia,1110,General Liability,1692.819188459137,2029-02-28,2030-02-28,18,Construction,1350632,Credit Card,1,12,0
111,Daniel Colon,1111,General Liability,3607.7630762239123,2029-03-31,2030-03-31,62,Construction,6310715,Credit Card,1,12,0
112,Frederick Hill,1112,General Liability,2450.9915852860395,2029-04-30,2030-04-30,37,Consulting,8626086,Cheque,3,12,0
113,Melinda Clark,1113,General Liability,9367.278871083157,2029-05-31,2030-05-31,25,Manufacturing,3343087,Cheque,3,12,0
114,Jennifer Molina,1114,General Liability,8273.083416079753,2029-06-30,2030-06-30,48,Technology,1009711,ACH Transfer,3,12,0
115,Patrick Krause,1115,General Liability,6700.633808593811,2029-07-31,2030-07-31,65,Technology,3811584,Cheque,1,12,0
116,Robert Weaver,1116,General Liability,8843.145311689459,2029-08-31,2030-08-31,53,Manufacturing,7013283,ACH Transfer,1,12,1
117,Shannon Schroeder MD,1117,General Liability,8233.04869209203,2029-09-30,2030-09-30,79,Construction,1719715,ACH Transfer,3,12,0
118,Kimberly Burton MD,1118,General Liability,2679.1305299743226,2029-10-31,2030-10-31,73,Construction,2690310,ACH Transfer,3,12,0
119,Karl Cox,1119,General Liability,9033.0309864098,2029-11-30,2030-11-30,15,Retail,6414768,ACH Transfer,4,12,0
120,Joshua Sanford,1120,General Liability,5854.080177240857,2029-12-31,2030-12-31,49,Consulting,9449220,ACH Transfer,3,12,0
121,Tammy Strong,1121,General Liability,8266.961396476563,2030-01-31,2031-01-31,88,Consulting,8424454,Credit Card,4,12,0
122,Sierra Mercado,1122,General Liability,9064.82169931144,2030-02-28,2031-02-28,68,Consulting,8915995,Cheque,2,12,1
123,James Fields,1123,General Liability,3862.0312747467747,2030-03-31,2031-03-31,12,Retail,6826451,Credit Card,1,12,1
124,Janet Lawson,1124,General Liability,1990.467320749091,2030-04-30,2031-04-30,59,Consulting,8164220,ACH Transfer,3,12,0
125,Anthony Harvey,1125,General Liability,3051.416462877475,2030-05-31,2031-05-31,37,Manufacturing,1644613,Cheque,1,12,1
126,Jonathan Taylor,1126,General Liability,4843.970097636307,2030-06-30,2031-06-30,61,Retail,1397638,Credit Card,1,12,1
127,Kyle Rodriguez,1127,General Liability,8362.132893302438,2030-07-31,2031-07-31,43,Manufacturing,7234897,Credit Card,1,12,1
128,Kayla Graham,1128,General Liability,8746.57524930709,2030-08-31,2031-08-31,70,Retail,7848670,ACH Transfer,2,12,1
129,Samantha Shelton,1129,General Liability,1062.5691747807164,2030-09-30,2031-09-30,39,Consulting,2530525,Credit Card,0,12,0
130,Mike Osborne,1130,General Liability,5596.725723198091,2030-10-31,2031-10-31,56,Manufacturing,7539103,Credit Card,3,12,0
131,Rachel Blanchard MD,1131,General Liability,4756.699028339011,2030-11-30,2031-11-30,63,Manufacturing,2556070,Credit Card,0,12,0
132,Erica Mendez,1132,General Liability,2998.970294236572,2030-12-31,2031-12-31,46,Manufacturing,8978234,Credit Card,0,12,0
133,Raven Braun,1133,General Liability,2078.7883060031454,2031-01-31,2032-01-31,88,Retail,388859,Credit Card,0,12,1
134,Jack Pham,1134,General Liability,4038.5365426326516,2031-02-28,2032-02-28,11,Technology,5108341,ACH Transfer,1,12,0
135,Amanda Clark,1135,General Liability,9486.187335212673,2031-03-31,2032-03-31,62,Consulting,4849766,ACH Transfer,4,12,0
136,Marilyn Clark,1136,General Liability,3908.826388186797,2031-04-30,2032-04-30,77,Manufacturing,1646236,Credit Card,1,12,1
137,Mackenzie Huff,1137,General Liability,5669.115595690295,2031-05-31,2032-05-31,98,Technology,9082913,ACH Transfer,1,12,1
138,Kimberly Davis,1138,General Liability,7327.1706300566,2031-06-30,2032-06-30,25,Consulting,4357341,ACH Transfer,0,12,1
139,Sharon Ryan,1139,General Liability,4272.666421413645,2031-07-31,2032-07-31,71,Consulting,3859834,Cheque,1,12,0
140,Samuel Smith,1140,General Liability,9746.038744488646,2031-08-31,2032-08-31,52,Manufacturing,2727988,Credit Card,0,12,0
141,Diane Mccoy,1141,General Liability,9662.025654479,2031-09-30,2032-09-30,4,Manufacturing,5577093,ACH Transfer,4,12,0
142,Sheila Alexander PhD,1142,General Liability,3266.0406624282773,2031-10-31,2032-10-31,59,Retail,8692974,ACH Transfer,3,12,0
143,Donald Colon,1143,General Liability,5475.236553031469,2031-11-30,2032-11-30,72,Technology,602420,Credit Card,0,12,0
144,Julie Bowen,1144,General Liability,3707.904788350927,2031-12-31,2032-12-31,20,Technology,5629046,Cheque,4,12,0
145,Robert Stewart,1145,General Liability,3563.5644493972086,2032-01-31,2033-01-31,93,Manufacturing,1779161,Credit Card,3,12,0
146,Dylan Rogers,1146,General Liability,1331.9825261907952,2032-02-29,2033-02-28,63,Consulting,9526807,Cheque,2,12,0
147,Jennifer Rivera,1147,General Liability,6486.079005819071,2032-03-31,2033-03-31,54,Manufacturing,760902,Credit Card,0,12,0
148,Anthony Wagner,1148,General Liability,5524.1112090597535,2032-04-30,2033-04-30,74,Consulting,7662116,Credit Card,0,12,0
149,Tracey West,1149,General Liability,1463.3087612499041,2032-05-31,2033-05-31,98,Consulting,1638112,Credit Card,2,12,0
150,Stephanie Pope,1150,General Liability,3507.818178129503,2032-06-30,2033-06-30,57,Manufacturing,1826676,Credit Card,2,12,0
151,Victoria Burnett,1151,General Liability,9174.392973699883,2032-07-31,2033-07-31,90,Construction,9858681,Cheque,0,12,0
152,Melissa Edwards,1152,General Liability,3156.057016002752,2032-08-31,2033-08-31,41,Technology,1785996,Cheque,2,12,0
153,Amanda Villa,1153,General Liability,2304.0538488210077,2032-09-30,2033-09-30,3,Consulting,3346417,ACH Transfer,1,12,0
154,John Reed,1154,General Liability,5405.0748424980675,2032-10-31,2033-10-31,6,Consulting,9191044,Credit Card,3,12,0
155,Allison Perkins,1155,General Liability,9870.854086995407,2032-11-30,2033-11-30,5,Construction,1452144,Cheque,3,12,1
156,Timothy Zimmerman,1156,General Liability,3178.4974436035036,2032-12-31,2033-12-31,5,Retail,1651330,Cheque,3,12,0
157,Dan Johnson,1157,General Liability,7049.219926652907,2033-01-31,2034-01-31,54,Construction,1071248,Cheque,1,12,0
158,Chad Wyatt,1158,General Liability,7854.576537958458,2033-02-28,2034-02-28,47,Construction,4757851,Credit Card,2,12,0
159,Edward Long,1159,General Liability,3138.737895931597,2033-03-31,2034-03-31,87,Consulting,6795306,ACH Transfer,4,12,1
160,Lauren Yu,1160,General Liability,7553.947137506736,2033-04-30,2034-04-30,49,Technology,5478750,Cheque,2,12,0
161,Brian Young,1161,General Liability,4310.048194473279,2033-05-31,2034-05-31,9,Construction,2707411,Credit Card,0,12,0
162,Ethan Patel,1162,General Liability,6690.752475342215,2033-06-30,2034-06-30,99,Retail,1793439,Cheque,3,12,1
163,Andrea Evans,1163,General Liability,6701.767396848052,2033-07-31,2034-07-31,20,Manufacturing,1931094,Cheque,2,12,0
164,Kenneth Mcfarland,1164,General Liability,5821.972156672827,2033-08-31,2034-08-31,61,Construction,3537172,ACH Transfer,4,12,0
165,Jessica Strickland,1165,General Liability,1812.6079304896748,2033-09-30,2034-09-30,35,Construction,9547933,Cheque,0,12,0
166,Samuel Bennett,1166,General Liability,8517.722460303143,2033-10-31,2034-10-31,50,Retail,7019875,Cheque,1,12,0
167,Sara Armstrong,1167,General Liability,3887.0205847456227,2033-11-30,2034-11-30,82,Technology,6023361,Credit Card,1,12,0
168,Kayla Chavez,1168,General Liability,2678.666593598688,2033-12-31,2034-12-31,62,Construction,2063571,Credit Card,4,12,0
169,Erik Gonzales,1169,General Liability,1366.9762739928751,2034-01-31,2035-01-31,17,Construction,5642511,ACH Transfer,0,12,1
170,William Murillo,1170,General Liability,6318.036488694176,2034-02-28,2035-02-28,88,Technology,9085826,Credit Card,3,12,1
171,Donald Frank,1171,General Liability,7098.079256580541,2034-03-31,2035-03-31,3,Retail,3915144,Credit Card,2,12,0
172,Bradley Sanchez,1172,General Liability,1149.2904603507054,2034-04-30,2035-04-30,32,Construction,3536252,ACH Transfer,0,12,0
173,Kyle Thompson,1173,General Liability,5608.837524693528,2034-05-31,2035-05-31,99,Technology,917052,Cheque,1,12,0
174,Stephanie Parker,1174,General Liability,3038.4619767814415,2034-06-30,2035-06-30,13,Construction,7696585,ACH Transfer,4,12,1
175,Daniel Moyer,1175,General Liability,6806.555113685049,2034-07-31,2035-07-31,89,Manufacturing,6369324,Credit Card,4,12,1
176,Michelle Alvarez,1176,General Liability,2569.2978610449227,2034-08-31,2035-08-31,73,Consulting,1528080,ACH Transfer,2,12,0
177,Jason Rose,1177,General Liability,7218.439642922193,2034-09-30,2035-09-30,68,Manufacturing,9590536,Cheque,4,12,1
178,Bryan Powers,1178,General Liability,4480.618116704836,2034-10-31,2035-10-31,14,Construction,2621279,ACH Transfer,4,12,0
179,Brian Blair,1179,General Liability,9430.56989863061,2034-11-30,2035-11-30,98,Retail,7603888,Credit Card,0,12,0
180,Sean Harper,1180,General Liability,2237.6884973139395,2034-12-31,2035-12-31,11,Consulting,6219848,Credit Card,3,12,0
181,William Brown,1181,General Liability,4069.5971594523267,2035-01-31,2036-01-31,56,Manufacturing,2826016,ACH Transfer,2,12,0
182,Jessica Caldwell,1182,General Liability,2021.2616911653017,2035-02-28,2036-02-28,67,Technology,1344289,Cheque,0,12,0
183,Michael Wade,1183,General Liability,9322.242564507065,2035-03-31,2036-03-31,92,Retail,542939,ACH Transfer,3,12,0
184,Evan Jenkins,1184,General Liability,8896.05418042883,2035-04-30,2036-04-30,29,Manufacturing,9540815,Cheque,0,12,0
185,Brandon Clark,1185,General Liability,3321.4746494364003,2035-05-31,2036-05-31,9,Technology,3382972,Cheque,0,12,1
186,William Clark,1186,General Liability,6939.856414307611,2035-06-30,2036-06-30,67,Construction,8792832,ACH Transfer,4,12,0
187,Jackson Barajas,1187,General Liability,8354.999801810944,2035-07-31,2036-07-31,25,Technology,4514473,Cheque,3,12,0
188,Emily Scott,1188,General Liability,5996.807304395161,2035-08-31,2036-08-31,98,Manufacturing,2811793,Credit Card,2,12,0
189,Kathryn Hamilton,1189,General Liability,5766.855205204059,2035-09-30,2036-09-30,76,Manufacturing,2419124,ACH Transfer,2,12,0
190,Rita Barr,1190,General Liability,3176.670618104065,2035-10-31,2036-10-31,42,Construction,4023227,Cheque,3,12,0
191,Walter Wood,1191,General Liability,1837.924910253093,2035-11-30,2036-11-30,9,Technology,2173290,Credit Card,4,12,0
192,Heather Bowers,1192,General Liability,9074.941821579941,2035-12-31,2036-12-31,79,Technology,2618970,ACH Transfer,1,12,0
193,Kenneth Green Jr.,1193,General Liability,9103.762514469974,2036-01-31,2037-01-31,40,Construction,3989877,Credit Card,0,12,0
194,David Jackson,1194,General Liability,6697.9131154594115,2036-02-29,2037-02-28,25,Technology,1827408,Credit Card,4,12,0
195,Michael Harris,1195,General Liability,4051.2681194383063,2036-03-31,2037-03-31,5,Construction,2901742,Credit Card,3,12,0
196,Nancy Simpson,1196,General Liability,4142.886171513948,2036-04-30,2037-04-30,11,Retail,1155675,Cheque,0,12,0
197,Dr. Troy Adkins,1197,General Liability,7533.601109832154,2036-05-31,2037-05-31,59,Manufacturing,6116854,ACH Transfer,2,12,0
198,Robert Moore,1198,General Liability,9073.992339573193,2036-06-30,2037-06-30,98,Retail,7536754,ACH Transfer,1,12,0
199,Jacqueline Anderson,1199,General Liability,8983.777818386056,2036-07-31,2037-07-31,88,Consulting,1065188,Cheque,2,12,1
200,Brittany Hines,1200,General Liability,8018.879912718615,2036-08-31,2037-08-31,79,Consulting,2261088,ACH Transfer,3,12,0
201,Wanda Mcguire,1201,General Liability,6778.28481538859,2036-09-30,2037-09-30,38,Consulting,8118006,Credit Card,0,12,0
202,Emily Bowen,1202,General Liability,1757.2596849554395,2036-10-31,2037-10-31,72,Construction,2420484,ACH Transfer,3,12,0
203,Jennifer Thomas,1203,General Liability,2454.658426851524,2036-11-30,2037-11-30,5,Technology,4205223,Cheque,0,12,0
204,Cory Owen,1204,General Liability,9086.987696743712,2036-12-31,2037-12-31,48,Retail,587510,Credit Card,4,12,0
205,Michael Anderson,1205,General Liability,6457.86153693631,2037-01-31,2038-01-31,90,Retail,6454986,Cheque,1,12,1
206,Charles Mcmillan,1206,General Liability,1082.7734645496669,2037-02-28,2038-02-28,18,Retail,7709964,Credit Card,4,12,1
207,Michael Johnson,1207,General Liability,1913.2438857942889,2037-03-31,2038-03-31,70,Retail,5895250,Credit Card,4,12,1
208,Scott Cruz,1208,General Liability,6971.515921972502,2037-04-30,2038-04-30,37,Consulting,4155447,ACH Transfer,3,12,0
209,Stephen Hunter,1209,General Liability,1045.5542546159681,2037-05-31,2038-05-31,60,Retail,1773879,Credit Card,1,12,0
210,Sue Savage,1210,General Liability,2447.272462757488,2037-06-30,2038-06-30,48,Technology,1880752,Cheque,0,12,0
211,Heather Mcdonald,1211,General Liability,5938.604104299275,2037-07-31,2038-07-31,77,Consulting,3393331,ACH Transfer,0,12,0
212,Dean Russo,1212,General Liability,7227.056779234239,2037-08-31,2038-08-31,28,Retail,3864455,Cheque,2,12,0
213,Samuel Bradley,1213,General Liability,6867.651335523405,2037-09-30,2038-09-30,69,Construction,7353817,Credit Card,0,12,0
214,John Schmidt,1214,General Liability,3018.423785145038,2037-10-31,2038-10-31,77,Manufacturing,4435518,Cheque,3,12,1
215,Elizabeth Dyer,1215,General Liability,7409.6129921278225,2037-11-30,2038-11-30,81,Manufacturing,8891690,Cheque,4,12,0
216,Douglas Alexander,1216,General Liability,3135.2417874712005,2037-12-31,2038-12-31,40,Manufacturing,8689747,Credit Card,4,12,0
