Product Name,Policy ID,Payment Schedule Name,Exposure ID,Exposure Name,Peril ID,Peril Name,Issued Date,Premium,Indemnity per Item,Indemnity per Event,Indemnity in Aggregate,Lump Sum Payment,Deductible,Coverage Start,Coverage End,Modification Name,Exposure vehicle_type,Exposure body_style,Exposure motorcycle_cc,Exposure vin,Exposure year,Exposure make,Exposure model,Exposure vehicle_value,Exposure unrepaired_damage,Exposure ownership_indicator,Exposure vehicle_plated_state,Exposure license_plate,Exposure annual_miles,Exposure primary_vehicle_use,Exposure travel_radius,Exposure travel_radius_farm,Exposure distance_to_work_school,Policy channel,Policy multiple_drivers,Policy drivers 1 driver_firstname,Policy drivers 1 driver_lastname,Policy drivers 1 driver_license,Policy drivers 1 driver_license_state,Policy drivers 1 driver_designation,Policy drivers 2 driver_firstname,Policy drivers 2 driver_lastname,Policy drivers 2 driver_license,Policy drivers 2 driver_license_state,Policy drivers 2 driver_designation,Policy 10_year_felony_conviction,Policy insurance_fraud_conviction,Policy atfault_claims_past_5_years,Policy run_third_party_reports
Personal Auto,100265316,upfront,100265190,vehicle,100265602,underinsured_motorist,20231017,29.90,100000.00,300000.00,,0.00,0.00,20231017,20241017,modification.policy.create,SUV,,,2HGEJ6526VH515429,1997,HONDA,Civic,90000,,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100265316,upfront,100265190,vehicle,100265192,bodily_injury,20231017,2564.00,30000.00,30000.00,50000.00,0.00,1000.00,20231017,20241017,modification.policy.create,SUV,,,2HGEJ6526VH515429,1997,HONDA,Civic,90000,,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100265316,upfront,100265190,vehicle,100265600,a_third_party_liability,20231017,4558.00,100000.00,100000.00,300000.00,0.00,0.00,20231017,20241017,modification.policy.create,SUV,,,2HGEJ6526VH515429,1997,HONDA,Civic,90000,,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100265316,upfront,100265190,vehicle,100265604,uninsured_motorist,20231017,8.61,100000.00,300000.00,,0.00,0.00,20231017,20241017,modification.policy.create,SUV,,,2HGEJ6526VH515429,1997,HONDA,Civic,90000,,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100265316,upfront,100265190,vehicle,100265196,comprehensive,20231017,171.00,,0.00,0.00,0.00,500.00,20231017,20241017,modification.policy.create,SUV,,,2HGEJ6526VH515429,1997,HONDA,Civic,90000,,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267226,vehicle,100267236,a_third_party_liability,20231019,4558.00,100000.00,100000.00,300000.00,0.00,0.00,20231018,20241018,modification.policy.create,SUV,,,2HGEJ6526VH515443,1997,HONDA,Civic,90000,No - Existing Damage,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267258,vehicle,100267266,roadside_service,20231019,25.00,0.00,150.00,0.00,0.00,0.00,20231018,20241018,modification.policy.create,Car,4 door,,2HGEJ6526VH512343,1997,HONDA,Civic,60000,No - Existing Damage,Owned - Financed,AL,,,Business - Sales - Artisan,Less than 10 Miles,,,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267258,vehicle,100267268,a_third_party_liability,20231019,2920.00,100000.00,100000.00,300000.00,0.00,0.00,20231018,20241018,modification.policy.create,Car,4 door,,2HGEJ6526VH512343,1997,HONDA,Civic,60000,No - Existing Damage,Owned - Financed,AL,,,Business - Sales - Artisan,Less than 10 Miles,,,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267226,vehicle,100267234,roadside_service,20231019,25.00,0.00,150.00,0.00,0.00,0.00,20231018,20241018,modification.policy.create,SUV,,,2HGEJ6526VH515443,1997,HONDA,Civic,90000,No - Existing Damage,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267258,vehicle,100267270,underinsured_motorist,20231019,29.90,100000.00,300000.00,,0.00,0.00,20231018,20241018,modification.policy.create,Car,4 door,,2HGEJ6526VH512343,1997,HONDA,Civic,60000,No - Existing Damage,Owned - Financed,AL,,,Business - Sales - Artisan,Less than 10 Miles,,,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267258,vehicle,100267262,collision,20231019,714.00,,unlimited,0.00,0.00,1000.00,20231018,20241018,modification.policy.create,Car,4 door,,2HGEJ6526VH512343,1997,HONDA,Civic,60000,No - Existing Damage,Owned - Financed,AL,,,Business - Sales - Artisan,Less than 10 Miles,,,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267226,vehicle,100267230,collision,20231019,1178.00,,unlimited,0.00,0.00,1000.00,20231018,20241018,modification.policy.create,SUV,,,2HGEJ6526VH515443,1997,HONDA,Civic,90000,No - Existing Damage,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267226,vehicle,100267228,bodily_injury,20231019,2564.00,30000.00,30000.00,50000.00,0.00,1000.00,20231018,20241018,modification.policy.create,SUV,,,2HGEJ6526VH515443,1997,HONDA,Civic,90000,No - Existing Damage,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267258,vehicle,100267260,bodily_injury,20231019,1554.00,30000.00,30000.00,50000.00,0.00,1000.00,20231018,20241018,modification.policy.create,Car,4 door,,2HGEJ6526VH512343,1997,HONDA,Civic,60000,No - Existing Damage,Owned - Financed,AL,,,Business - Sales - Artisan,Less than 10 Miles,,,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267258,vehicle,100267264,comprehensive,20231019,155.00,,0.00,0.00,0.00,500.00,20231018,20241018,modification.policy.create,Car,4 door,,2HGEJ6526VH512343,1997,HONDA,Civic,60000,No - Existing Damage,Owned - Financed,AL,,,Business - Sales - Artisan,Less than 10 Miles,,,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267258,vehicle,100267272,uninsured_motorist,20231019,8.61,100000.00,300000.00,,0.00,0.00,20231018,20241018,modification.policy.create,Car,4 door,,2HGEJ6526VH512343,1997,HONDA,Civic,60000,No - Existing Damage,Owned - Financed,AL,,,Business - Sales - Artisan,Less than 10 Miles,,,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267226,vehicle,100267238,underinsured_motorist,20231019,29.90,100000.00,300000.00,,0.00,0.00,20231018,20241018,modification.policy.create,SUV,,,2HGEJ6526VH515443,1997,HONDA,Civic,90000,No - Existing Damage,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267226,vehicle,100267232,comprehensive,20231019,171.00,,0.00,0.00,0.00,500.00,20231018,20241018,modification.policy.create,SUV,,,2HGEJ6526VH515443,1997,HONDA,Civic,90000,No - Existing Damage,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100267120,upfront,100267226,vehicle,100267240,uninsured_motorist,20231019,8.61,100000.00,300000.00,,0.00,0.00,20231018,20241018,modification.policy.create,SUV,,,2HGEJ6526VH515443,1997,HONDA,Civic,90000,No - Existing Damage,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100263066,upfront,100274966,vehicle,100274976,a_third_party_liability,20231117,40.37,100000.00,100000.00,300000.00,0.00,0.00,20231017,20231117,modification.policy.lapse,Car,2 door,, 2HGEJ6526VH515413,1997,HONDA,Civic,1000,No - Existing Damage,Owned - Not Financed,AR,989897,8777,Business - Sales - Artisan,Between 11 to 20 Miles,,,Direct,No - Just Policyholder,,,,,,,,,,,No,No,3,No - I Do Not Authorize - Just Provide a General Quote
Personal Auto,100263066,upfront,100274966,vehicle,100274968,bodily_injury,20231117,1.95,30000.00,30000.00,50000.00,10000.00,1000.00,20231017,20231117,modification.policy.lapse,Car,2 door,, 2HGEJ6526VH515413,1997,HONDA,Civic,1000,No - Existing Damage,Owned - Not Financed,AR,989897,8777,Business - Sales - Artisan,Between 11 to 20 Miles,,,Direct,No - Just Policyholder,,,,,,,,,,,No,No,3,No - I Do Not Authorize - Just Provide a General Quote
Personal Auto,100263066,upfront,100274966,vehicle,100274974,roadside_service,20231117,2.12,0.00,150.00,0.00,0.00,0.00,20231017,20231117,modification.policy.lapse,Car,2 door,, 2HGEJ6526VH515413,1997,HONDA,Civic,1000,No - Existing Damage,Owned - Not Financed,AR,989897,8777,Business - Sales - Artisan,Between 11 to 20 Miles,,,Direct,No - Just Policyholder,,,,,,,,,,,No,No,3,No - I Do Not Authorize - Just Provide a General Quote
Personal Auto,100263066,upfront,100274966,vehicle,100274980,uninsured_motorist,20231117,0.46,100000.00,300000.00,,0.00,0.00,20231017,20231117,modification.policy.lapse,Car,2 door,, 2HGEJ6526VH515413,1997,HONDA,Civic,1000,No - Existing Damage,Owned - Not Financed,AR,989897,8777,Business - Sales - Artisan,Between 11 to 20 Miles,,,Direct,No - Just Policyholder,,,,,,,,,,,No,No,3,No - I Do Not Authorize - Just Provide a General Quote
Personal Auto,100263066,upfront,100274966,vehicle,100274972,comprehensive,20231117,11.87,,0.00,0.00,0.00,500.00,20231017,20231117,modification.policy.lapse,Car,2 door,, 2HGEJ6526VH515413,1997,HONDA,Civic,1000,No - Existing Damage,Owned - Not Financed,AR,989897,8777,Business - Sales - Artisan,Between 11 to 20 Miles,,,Direct,No - Just Policyholder,,,,,,,,,,,No,No,3,No - I Do Not Authorize - Just Provide a General Quote
Personal Auto,100263066,upfront,100274966,vehicle,100274978,underinsured_motorist,20231117,2.11,100000.00,300000.00,,0.00,0.00,20231017,20231117,modification.policy.lapse,Car,2 door,, 2HGEJ6526VH515413,1997,HONDA,Civic,1000,No - Existing Damage,Owned - Not Financed,AR,989897,8777,Business - Sales - Artisan,Between 11 to 20 Miles,,,Direct,No - Just Policyholder,,,,,,,,,,,No,No,3,No - I Do Not Authorize - Just Provide a General Quote
Personal Auto,100263066,upfront,100274966,vehicle,100274970,collision,20231117,0.93,,unlimited,0.00,0.00,1000.00,20231017,20231117,modification.policy.lapse,Car,2 door,, 2HGEJ6526VH515413,1997,HONDA,Civic,1000,No - Existing Damage,Owned - Not Financed,AR,989897,8777,Business - Sales - Artisan,Between 11 to 20 Miles,,,Direct,No - Just Policyholder,,,,,,,,,,,No,No,3,No - I Do Not Authorize - Just Provide a General Quote
